Time,[Lorg.codehaus.jackson.map.introspect.AnnotationMap; Data
0,288
1,288
2,329
3,329
4,288
5,329
6,329
7,288
8,299
9,288
10,329
11,288
12,329
13,329
14,329
15,329
16,329
17,329
18,329
19,329
20,288
21,288
22,288
23,329
24,329
25,329
26,329
27,329
