Time,org.apache.hadoop.hdfs.protocol.datatransfer.PacketHeader Data
0,1388
1,1119
2,720
3,765
4,292
5,887
6,1103
7,709
8,695
9,713
10,671
11,978
12,1337
13,1389
14,1333
15,642
16,722
17,1150
18,731
19,1404
20,1429
21,1366
22,345
23,1412
24,668
25,1387
26,1423
27,823
28,1439
29,740
30,112
31,130
32,135
33,152
34,98
35,112
