Time,com.sun.org.apache.xerces.internal.util.NamespaceSupport Data
0,258
1,407
2,429
3,333
4,344
5,107
6,527
7,431
8,419
9,134
10,365
11,179
12,407
13,503
14,243
15,455
16,424
17,105
18,261
19,105
20,405
21,431
22,511
23,489
24,671
25,617
26,105
27,97
28,285
29,694
30,227
31,163
32,577
33,551
34,477
35,398
36,227
37,753
38,413
39,193
40,171
41,299
42,623
43,179
44,695
45,383
46,573
47,365
48,243
49,685
50,599
51,355
52,83
53,601
54,283
55,461
56,740
57,285
58,389
59,107
60,623
61,174
62,174
63,352
64,617
65,721
66,153
67,269
68,453
69,597
70,641
71,841
72,81
73,123
74,194
75,431
76,431
77,461
78,341
79,479
80,411
81,455
82,453
83,395
84,317
85,285
86,81
87,875
88,803
89,527
90,429
91,339
92,921
93,713
94,387
95,253
96,503
97,293
98,214
99,575
100,407
101,243
102,719
103,431
104,206
105,733
106,415
107,971
108,689
109,203
110,897
111,833
112,479
113,923
114,713
115,1045
116,623
117,147
118,539
119,203
120,785
121,1117
122,601
123,971
124,437
125,887
126,171
127,641
128,907
129,405
130,925
131,245
132,671
133,1099
134,461
135,995
136,257
137,649
138,1069
139,407
140,673
141,1069
142,405
143,599
144,1045
145,195
146,389
147,331
148,403
149,835
150,1165
151,81
152,293
153,760
154,787
155,907
156,129
157,335
158,219
159,689
160,625
161,747
162,1117
163,1136
164,129
165,285
166,339
167,479
168,639
169,107
170,297
171,375
172,509
173,542
174,647
175,503
176,695
177,803
178,793
179,785
180,925
181,477
182,498
183,569
184,501
185,431
186,551
187,389
188,267
189,245
190,251
191,171
192,1263
