Time,com.sun.org.apache.xerces.internal.impl.XMLEntityManager$RewindableInputStream Data
0,82
1,128
2,137
3,109
4,168
5,136
6,133
7,116
8,128
9,160
10,76
11,144
12,137
13,128
14,136
15,165
16,156
17,216
18,196
19,92
20,224
21,72
22,185
23,176
24,152
25,126
26,72
27,240
28,132
29,96
30,200
31,224
32,120
33,184
34,116
35,219
36,192
37,112
38,192
39,88
40,148
41,239
42,124
43,200
44,111
45,196
46,232
47,144
48,191
49,204
50,272
51,136
52,136
53,148
54,108
55,152
56,132
57,144
58,144
59,128
60,100
61,280
62,256
63,168
64,136
65,107
66,296
67,228
68,124
69,160
70,184
71,128
72,232
73,136
74,233
75,133
76,312
77,220
78,64
79,288
80,268
81,152
82,296
83,228
84,336
85,200
86,173
87,252
88,360
89,192
90,312
91,140
92,287
93,204
94,292
95,128
96,296
97,78
98,216
99,356
100,148
101,320
102,208
103,344
104,128
105,216
106,344
107,128
108,192
109,336
110,124
111,103
112,129
113,268
114,376
115,244
116,252
117,292
118,104
119,220
120,200
121,240
122,360
123,367
124,108
125,152
126,204
127,93
128,118
129,164
130,174
131,208
132,160
133,224
134,256
135,256
136,252
137,296
138,152
139,159
140,182
141,160
142,136
143,176
144,124
145,80
146,408
