Time,com.google.gson.reflect.TypeToken Data
0,330
1,211
2,1681
3,872
4,619
5,270
6,1652
7,730
8,1654
9,862
10,284
11,1726
12,897
13,1690
14,877
15,133
16,1665
17,745
18,1436
19,410
20,1508
21,450
22,289
23,1667
24,872
25,1683
26,755
27,1214
28,299
29,1685
30,882
31,1517
32,455
33,284
34,1611
35,715
36,148
37,1533
38,729
39,1676
40,877
41,667
42,629
43,1676
44,882
45,1894
46,1212
47,1849
48,1055
49,264
50,284
51,1313
52,399
53,324
54,1748
55,922
56,163
57,420
58,284
59,1721
60,774
61,1703
62,892
63,1694
64,887
65,1649
66,862
67,299
68,279
69,3182
70,1327
71,631
72,609
73,1349
74,419
75,574
76,184
77,178
78,274
79,2105
80,902
81,289
82,2132
83,917
84,1658
85,867
86,269
87,1712
88,897
89,1436
90,410
91,1508
92,450
93,589
94,211
95,1876
96,1202
97,1721
98,766
99,1533
100,735
101,269
102,279
103,1721
104,902
105,1506
106,584
107,649
108,619
109,1748
110,922
111,1620
112,720
113,1517
114,455
115,384
116,264
117,279
118,1730
119,771
120,564
121,550
122,289
123,1638
124,730
125,3121
126,1028
127,1748
128,917
129,365
130,153
131,1492
132,567
133,1575
134,745
135,1712
136,902
137,3130
138,1033
139,1793
140,942
141,279
142,1436
143,405
144,294
145,1542
146,734
147,1676
148,877
149,649
150,619
151,1501
152,436
153,1676
154,877
155,1412
156,454
157,1665
158,745
159,1685
160,882
161,333
162,1376
163,434
164,1620
165,720
166,1427
167,405
168,279
169,3341
170,1358
171,3316
172,1470
173,1694
174,751
175,1676
176,877
177,1640
178,862
179,274
180,3245
181,1362
182,3067
183,1048
184,1403
185,449
186,589
187,200
188,269
189,1683
190,755
191,1481
192,435
193,579
194,568
195,1712
196,761
197,1647
198,735
199,579
200,577
201,1766
202,927
203,1656
204,740
205,584
206,193
207,3287
208,1328
209,631
210,609
211,3379
212,1510
213,3034
214,1037
215,294
216,3236
217,1357
218,3204
219,1064
220,768
221,614
222,3359
223,1500
224,1887
225,1202
226,3386
227,1383
228,1730
229,907
230,1445
231,415
232,1694
233,892
234,294
235,2289
236,1212
237,3413
238,1398
239,1721
240,902
241,3379
242,1369
243,618
244,267
245,2177
246,942
247,1454
248,420
249,3130
250,1033
251,3213
252,1205
253,1667
254,872
255,3361
256,1495
257,304
258,1748
259,917
260,3285
261,1245
262,649
263,619
264,3388
265,1374
266,1483
267,567
268,1739
269,912
270,3415
271,1525
272,1667
273,872
274,1748
275,917
276,3415
277,1525
278,1667
279,872
280,1712
281,902
282,3388
283,1515
284,1465
285,552
286,1517
287,455
288,269
289,1631
290,857
291,1517
292,455
293,3184
294,1063
295,3433
296,1535
297,279
298,1481
299,435
300,1896
301,1207
302,1914
303,1217
304,3213
305,1205
306,420
307,284
308,1457
309,862
310,269
311,1474
312,557
313,2253
314,1192
315,1730
316,907
317,3157
318,1048
319,3790
320,1520
321,3415
322,1530
323,420
324,284
325,1622
326,847
327,1499
328,445
329,1694
330,887
331,3130
332,1033
333,284
334,595
335,589
336,1649
337,867
338,667
339,629
340,1694
341,892
342,2105
343,902
344,1685
345,882
346,2132
347,917
348,3314
349,1343
350,1775
351,932
352,3184
353,1063
354,3361
355,1495
356,1584
357,754
358,1676
359,886
360,1703
361,901
362,1569
363,753
364,1658
365,871
366,1703
367,896
368,1403
369,453
370,1492
371,571
372,593
373,211
374,308
375,1340
376,418
377,3469
378,1559
