Time,org.hibernate.jdbc.JDBCContext Data
0,349
1,165
2,319
3,296
4,369
5,314
6,344
7,253
8,268
9,348
10,343
11,321
12,307
13,288
14,347
15,167
16,357
17,449
18,406
19,401
20,355
21,367
22,358
23,293
24,425
25,186
26,370
27,433
28,306
29,368
30,233
31,278
32,123
33,468
34,375
35,271
36,377
37,157
38,398
39,253
40,278
41,419
42,326
43,534
44,389
45,244
46,285
47,370
48,567
49,452
50,191
51,241
52,312
53,284
54,312
55,204
56,322
57,354
58,192
59,287
60,203
61,669
62,636
63,358
64,350
65,298
66,629
67,534
68,206
69,333
70,258
71,367
72,304
73,401
74,315
75,116
76,620
77,722
78,411
79,623
80,611
81,707
82,436
83,695
84,374
85,233
86,360
87,479
88,712
89,377
90,711
91,462
92,243
93,553
94,705
95,347
96,667
97,438
98,704
99,721
100,240
101,389
102,733
103,345
104,389
105,733
106,339
107,371
108,714
109,270
110,282
111,325
112,303
113,597
114,786
115,258
116,472
117,450
118,711
119,294
120,271
121,417
122,379
123,637
124,732
125,740
126,278
127,242
128,359
129,551
130,306
131,167
132,367
133,402
134,347
135,430
136,624
137,440
138,619
139,704
140,294
141,357
142,408
143,284
144,336
145,366
146,215
147,283
148,773
