Time,com.sun.org.apache.xerces.internal.xni.parser.XMLInputSource Data
0,137
1,168
2,136
3,133
4,116
5,160
6,144
7,137
8,128
9,136
10,165
11,156
12,216
13,196
14,92
15,224
16,185
17,176
18,152
19,126
20,240
21,132
22,96
23,200
24,224
25,184
26,219
27,192
28,112
29,192
30,148
31,239
32,124
33,200
34,196
35,232
36,144
37,191
38,204
39,272
40,136
41,136
42,148
43,152
44,132
45,144
46,144
47,128
48,280
49,256
50,168
51,136
52,296
53,228
54,124
55,160
56,184
57,128
58,232
59,136
60,233
61,133
62,312
63,220
64,288
65,268
66,152
67,296
68,228
69,336
70,200
71,173
72,252
73,360
74,192
75,312
76,140
77,287
78,204
79,292
80,296
81,216
82,356
83,148
84,320
85,208
86,344
87,216
88,344
89,192
90,336
91,124
92,129
93,268
94,376
95,244
96,252
97,292
98,220
99,200
100,240
101,360
102,367
103,152
104,204
105,164
106,174
107,208
108,160
109,224
110,256
111,256
112,252
113,296
114,152
115,159
116,182
117,160
118,136
119,176
120,124
121,408
