Time,org.hibernate.engine.JoinSequence$Join Data
0,208
1,266
2,294
3,329
4,364
5,392
6,427
7,462
8,364
9,399
10,434
11,462
12,497
13,532
14,560
15,595
16,630
17,658
18,693
19,728
20,433
21,468
22,503
23,531
24,566
25,601
26,635
27,664
28,699
29,728
30,742
31,776
32,419
33,454
34,482
35,517
36,552
37,587
38,615
39,650
40,685
41,713
42,748
43,783
44,433
45,468
46,503
47,531
48,566
49,601
50,629
51,664
52,699
53,727
54,762
55,797
56,426
57,461
58,496
59,524
60,559
61,594
62,628
63,657
64,692
65,720
66,755
67,783
68,433
69,468
70,496
71,531
72,566
73,594
74,413
75,442
76,476
77,511
78,546
79,574
80,609
81,644
82,672
83,707
84,742
85,770
86,415
87,450
88,478
89,513
90,548
91,576
92,611
93,646
94,675
95,709
96,744
97,779
98,426
99,461
100,496
101,524
102,559
103,594
104,622
105,657
106,692
107,720
108,755
109,790
110,420
111,455
112,490
113,518
114,553
115,588
116,623
117,651
118,686
119,715
120,749
121,784
122,421
123,455
124,490
125,525
126,553
127,588
128,623
129,651
130,686
131,721
132,749
133,784
134,426
135,461
136,489
137,524
138,559
139,587
140,622
141,657
142,685
143,720
144,749
145,783
146,433
147,462
148,496
149,531
150,566
151,594
152,629
153,664
154,692
155,727
156,762
157,790
158,427
159,462
160,490
161,525
162,560
163,588
164,623
165,658
166,692
167,721
168,756
169,791
170,427
171,462
172,497
173,525
174,560
175,595
176,623
177,658
178,693
179,721
180,756
181,791
182,426
183,461
184,496
185,524
186,559
187,594
188,622
189,657
190,692
191,720
192,755
193,790
194,427
195,462
196,497
197,525
198,560
199,595
200,623
201,658
202,692
203,721
204,756
205,784
