Time,com.sun.xml.internal.stream.Entity$ScannedEntity Data
0,82
1,128
2,137
3,104
4,109
5,32
6,168
7,136
8,133
9,41
10,116
11,56
12,128
13,160
14,76
15,144
16,137
17,32
18,80
19,32
20,128
21,136
22,165
23,156
24,216
25,196
26,28
27,92
28,224
29,72
30,50
31,185
32,176
33,152
34,126
35,72
36,240
37,132
38,60
39,52
40,96
41,200
42,56
43,224
44,120
45,184
46,116
47,76
48,219
49,192
50,112
51,192
52,88
53,148
54,239
55,88
56,124
57,32
58,200
59,53
60,55
61,111
62,196
63,232
64,48
65,84
66,144
67,191
68,204
69,272
70,62
71,136
72,136
73,148
74,108
75,152
76,132
77,144
78,144
79,128
80,100
81,88
82,280
83,256
84,168
85,136
86,107
87,296
88,228
89,124
90,79
91,160
92,92
93,67
94,184
95,128
96,76
97,232
98,136
99,65
100,233
101,133
102,312
103,220
104,64
105,288
106,268
107,152
108,296
109,228
110,336
111,200
112,44
113,173
114,64
115,252
116,360
117,192
118,312
119,140
120,287
121,52
122,204
123,292
124,128
125,296
126,78
127,216
128,356
129,148
130,320
131,81
132,208
133,344
134,128
135,216
136,344
137,128
138,192
139,336
140,60
141,124
142,103
143,129
144,268
145,376
146,24
147,92
148,244
149,252
150,292
151,40
152,104
153,68
154,220
155,200
156,240
157,360
158,367
159,40
160,88
161,108
162,152
163,204
164,32
165,93
166,118
167,164
168,174
169,208
170,160
171,224
172,256
173,256
174,252
175,296
176,152
177,159
178,182
179,160
180,136
181,176
182,124
183,84
184,76
185,80
186,52
187,408
