Time,org.hibernate.impl.SessionImpl$CoordinatingEntityNameResolver Data
0,349
1,319
2,369
3,344
4,253
5,348
6,343
7,307
8,347
9,357
10,449
11,406
12,401
13,355
14,367
15,358
16,425
17,370
18,433
19,368
20,468
21,375
22,377
23,398
24,419
25,326
26,534
27,389
28,370
29,567
30,452
31,284
32,322
33,354
34,669
35,636
36,358
37,350
38,629
39,534
40,333
41,367
42,401
43,620
44,722
45,411
46,623
47,611
48,707
49,436
50,695
51,374
52,360
53,479
54,712
55,377
56,711
57,462
58,553
59,705
60,347
61,667
62,438
63,704
64,721
65,389
66,733
67,345
68,389
69,733
70,339
71,371
72,714
73,325
74,597
75,786
76,472
77,450
78,711
79,271
80,417
81,379
82,637
83,732
84,740
85,359
86,551
87,367
88,402
89,347
90,430
91,624
92,440
93,619
94,704
95,357
96,408
97,336
98,366
99,283
100,773
