Time,[Ljava.util.WeakHashMap$Entry; Data
0,890
1,1126
2,1080
3,1037
4,1039
5,958
6,1096
7,1077
8,409
9,657
10,658
11,671
12,593
13,661
14,695
15,615
16,698
17,674
18,561
19,652
20,421
21,642
22,678
23,682
24,688
25,773
26,743
27,524
28,567
29,532
30,680
31,772
32,509
33,591
34,775
35,762
36,753
37,741
38,671
39,602
40,824
41,696
42,650
43,637
44,482
45,542
46,735
47,620
48,760
49,670
50,539
51,733
52,584
53,675
54,595
55,761
56,609
57,644
58,555
59,587
60,774
61,611
62,679
63,793
64,649
65,702
66,531
67,612
68,671
69,637
70,659
71,745
72,840
73,849
74,502
75,718
76,727
77,785
78,850
79,887
80,592
81,653
82,670
83,725
84,748
85,736
86,486
87,700
88,652
89,686
90,662
91,660
92,665
93,654
94,638
95,566
96,876
97,866
98,541
99,660
100,652
101,555
102,829
103,787
104,647
105,611
106,531
107,706
108,660
109,587
110,564
111,689
112,613
113,775
114,714
115,594
116,823
117,695
118,911
119,806
120,622
121,875
122,749
123,798
124,962
125,885
126,1034
127,856
128,719
129,848
130,707
131,921
132,1046
133,865
134,724
135,706
136,897
137,667
138,819
139,936
140,714
141,928
142,666
143,825
144,985
145,754
146,836
147,788
148,929
149,1083
150,837
151,932
152,1076
153,832
154,904
155,1076
156,773
157,831
158,691
159,801
160,827
161,974
162,1099
163,713
164,787
165,925
166,972
167,1038
168,718
169,814
170,623
171,684
172,838
173,839
174,888
175,997
176,1006
177,657
178,711
179,736
180,781
181,831
182,703
183,740
184,797
185,804
186,864
187,873
188,845
189,915
190,956
191,941
192,955
193,1012
194,866
195,823
196,832
197,792
198,806
199,850
200,759
201,742
202,729
203,731
204,694
205,1127
