Time,java.lang.StringCoding$StringEncoder Data
0,193
1,235
2,220
3,225
4,229
5,240
6,237
7,216
8,192
9,230
10,225
11,234
12,222
13,202
14,222
15,204
16,228
17,382
18,375
19,180
20,229
21,224
22,227
23,218
24,219
25,388
26,208
27,225
28,188
29,228
30,222
31,222
32,194
33,384
34,207
35,197
36,228
37,200
38,204
39,229
40,210
41,208
42,192
43,209
44,239
45,230
46,210
47,221
48,240
49,231
50,212
51,222
52,207
53,216
54,213
55,213
56,205
57,400
58,403
59,208
60,212
61,212
62,389
63,241
64,207
65,216
66,197
67,206
68,210
69,198
70,226
71,213
72,191
73,397
74,204
75,406
76,239
77,393
78,232
79,203
80,402
81,380
82,407
83,221
84,220
85,391
86,409
87,229
88,389
89,199
90,232
91,228
92,405
93,217
94,412
95,363
96,306
97,205
98,390
99,227
100,418
101,220
102,229
103,411
104,215
105,223
106,412
107,185
108,209
109,242
110,417
111,386
112,388
113,411
114,215
115,382
116,225
117,238
118,419
119,413
120,212
121,223
122,240
123,195
124,211
125,204
126,221
127,227
128,218
129,229
130,400
131,231
132,241
133,410
134,200
135,217
136,223
137,205
138,217
139,220
140,195
141,420
