Time,java.lang.ref.Finalizer Data
0,3218
1,3973
2,3758
3,3776
4,3784
5,2919
6,3994
7,3888
8,769
9,3166
10,2789
11,3067
12,2759
13,3122
14,3308
15,2902
16,3293
17,3210
18,2379
19,3132
20,1100
21,3516
22,3531
23,3480
24,3599
25,4279
26,4236
27,2422
28,3067
29,2573
30,3143
31,3815
32,2064
33,3500
34,4560
35,4507
36,4444
37,4780
38,4016
39,3480
40,5126
41,3743
42,4074
43,3721
44,1736
45,3440
46,4738
47,3697
48,4803
49,4132
50,2998
51,4258
52,3781
53,4056
54,3745
55,4872
56,2331
57,3537
58,3221
59,2881
60,4403
61,3346
62,3582
63,4173
64,3523
65,3704
66,3065
67,3339
68,3728
69,4610
70,4271
71,5109
72,5922
73,5492
74,2733
75,5137
76,5128
77,5490
78,6194
79,6224
80,4270
81,4939
82,4992
83,5076
84,5381
85,5170
86,1717
87,4486
88,3772
89,3944
90,4013
91,3762
92,3671
93,3796
94,3741
95,2977
96,5519
97,5477
98,1913
99,3621
100,4000
101,3092
102,4675
103,4474
104,3417
105,3236
106,3078
107,3764
108,3599
109,3271
110,1984
111,3659
112,3366
113,3973
114,4199
115,3269
116,4769
117,3603
118,5494
119,4543
120,3369
121,5263
122,3672
123,5308
124,6179
125,5746
126,6786
127,5723
128,5191
129,5616
130,4537
131,5934
132,6844
133,5754
134,3233
135,4144
136,5012
137,4288
138,4918
139,5742
140,4433
141,5676
142,3642
143,4871
144,5490
145,4398
146,4671
147,5366
148,6265
149,7358
150,5931
151,6252
152,7341
153,5945
154,6200
155,7271
156,5832
157,5520
158,4815
159,5895
160,5926
161,6543
162,7456
163,4986
164,5744
165,6403
166,6909
167,7296
168,5167
169,5880
170,4151
171,5065
172,6037
173,5661
174,6409
175,6741
176,6651
177,4919
178,5096
179,5163
180,5455
181,5862
182,4608
183,5337
184,5629
185,5104
186,5854
187,5983
188,5766
189,6537
190,6704
191,6205
192,6777
193,7384
194,4988
195,5196
196,5335
197,5035
198,5207
199,5759
200,4907
201,4974
202,4824
203,4848
204,4756
205,6793
