Time,[Lsun.reflect.generics.tree.FormalTypeParameter; Data
0,4574
1,7042
2,6998
3,7041
4,7042
5,6918
6,7042
7,7042
8,5745
9,5869
10,5789
11,5789
12,5751
13,5870
14,5869
15,5748
16,5870
17,5789
18,5746
19,5869
20,5745
21,5828
22,5870
23,5828
24,5870
25,5950
26,5949
27,5746
28,5751
29,5745
30,5746
31,5870
32,5745
33,5748
34,5869
35,5870
36,5870
37,5870
38,5746
39,5746
40,5952
41,5828
42,5748
43,5828
44,5745
45,5746
46,5872
47,5751
48,5872
49,5870
50,5746
51,5870
52,5789
53,5789
54,5826
55,5950
56,5869
57,5828
58,5746
59,5746
60,5870
61,5828
62,5828
63,5870
64,5869
65,5789
66,5745
67,5746
68,5869
69,5828
70,5746
71,5869
72,5913
73,5870
74,5747
75,5789
76,5829
77,5869
78,5912
79,5869
80,5745
81,5788
82,5745
83,5827
84,5869
85,5827
86,5794
87,5875
88,5753
89,5874
90,5875
91,5756
92,5753
93,5874
94,5794
95,5751
96,5998
97,5999
98,5869
99,5870
100,5870
101,5746
102,5952
103,5874
104,5748
105,5828
106,5746
107,5869
108,5789
109,5828
110,5869
111,5869
112,5828
113,5870
114,5869
115,5826
116,5993
117,5828
118,5994
119,5872
120,5746
121,5952
122,5913
123,5828
124,5994
125,5950
126,5993
127,5870
128,5789
129,5870
130,5746
131,5952
132,5993
133,5870
134,5993
135,5826
136,5872
137,5789
138,5910
139,5919
140,5870
141,5994
142,5746
143,5875
144,5919
145,5828
146,5993
147,5790
148,5870
149,5994
150,5870
151,5870
152,5994
153,5870
154,5870
155,5994
156,5795
157,5789
158,5746
159,5870
160,5789
161,5913
162,5996
163,5746
164,5789
165,5952
166,5950
167,5994
168,5748
169,5867
170,5746
171,5789
172,5952
173,5870
174,5913
175,5996
176,5994
177,5748
178,5870
179,5789
180,5870
181,5913
182,5746
183,5828
184,5870
185,5828
186,5870
187,5872
188,5869
189,5872
190,5993
191,5870
192,5913
193,5994
194,5830
195,5870
196,5870
197,5828
198,5870
199,5870
200,5748
201,5795
202,5826
203,5748
204,5748
205,5994
