Time,com.sun.xml.stream.xerces.util.SymbolTable$Entry Data
0,303
1,579
2,680
3,680
4,679
5,670
6,119
7,773
8,866
9,299
10,69
11,688
12,877
13,970
14,967
15,1066
16,1066
17,1063
18,970
19,1066
20,1146
21,1159
22,302
23,694
24,784
25,784
26,877
27,954
28,880
29,777
30,69
31,880
32,877
33,879
34,1063
35,399
36,784
37,874
38,877
39,877
40,874
41,870
42,963
43,1073
44,1063
45,1156
46,1060
47,405
48,681
49,69
50,884
51,970
52,1073
53,873
54,869
55,69
56,975
57,1060
58,1063
59,1063
60,1166
61,399
62,784
63,681
64,69
65,777
66,973
67,944
68,973
69,973
70,877
71,973
72,876
73,872
74,502
75,592
76,681
77,877
78,881
79,970
80,402
81,784
82,880
83,880
84,887
85,973
86,777
87,851
88,870
89,973
90,877
91,973
92,405
93,691
94,784
95,877
96,880
97,970
98,973
99,970
100,874
101,867
102,1073
103,980
104,405
105,874
106,944
107,870
108,1076
109,980
110,970
111,973
112,870
113,970
114,1066
115,1066
116,402
117,787
118,787
119,877
120,973
121,973
122,980
123,973
124,1073
125,980
126,870
127,1169
128,412
129,787
130,890
131,884
132,980
133,970
134,973
135,973
136,970
137,1073
138,1067
139,964
140,502
141,681
142,884
143,874
144,980
145,1076
146,973
147,980
148,870
149,1073
150,1077
151,970
152,508
153,691
154,787
155,890
156,787
157,789
158,892
159,786
160,787
161,983
162,880
163,874
164,498
165,787
166,787
167,983
168,1086
169,870
170,973
171,1076
172,973
173,1073
174,970
175,874
176,495
177,691
178,698
179,691
180,797
181,894
182,983
183,973
184,877
185,973
186,970
187,982
188,585
189,781
190,755
191,880
192,973
193,1063
194,970
195,1073
196,980
197,973
198,1073
199,1070
200,598
201,691
202,784
203,784
204,880
205,880
206,973
207,973
208,871
209,967
210,967
211,1073
