Time,org.hibernate.engine.RowSelection Data
0,114
1,342
2,316
3,302
4,356
5,312
6,341
7,262
8,224
9,344
10,329
11,317
12,295
13,278
14,343
15,350
16,431
17,228
18,393
19,228
20,375
21,316
22,356
23,350
24,299
25,414
26,228
27,153
28,356
29,408
30,309
31,356
32,218
33,243
34,454
35,228
36,362
37,238
38,362
39,374
40,238
41,241
42,400
43,114
44,329
45,508
46,365
47,244
48,246
49,356
50,563
51,417
52,180
53,206
54,311
55,282
56,311
57,156
58,295
59,349
60,154
61,265
62,215
63,639
64,229
65,643
66,229
67,350
68,344
69,302
70,584
71,228
72,496
73,159
74,309
75,236
76,356
77,280
78,375
79,289
80,114
81,627
82,228
83,706
84,378
85,582
86,228
87,600
88,697
89,228
90,421
91,228
92,652
93,357
94,215
95,350
96,461
97,228
98,664
99,362
100,699
101,228
102,140
103,426
104,222
105,540
106,693
107,228
108,344
109,661
110,413
111,193
112,669
113,706
114,238
115,369
116,712
117,343
118,368
119,712
120,337
121,356
122,699
123,274
124,251
125,331
126,290
127,553
128,757
129,240
130,456
131,228
132,430
133,228
134,698
135,299
136,275
137,411
138,228
139,362
140,632
141,713
142,713
143,289
144,200
145,350
146,520
147,308
148,356
149,387
150,343
151,407
152,622
153,228
154,410
155,584
156,694
157,252
158,350
159,392
160,241
161,338
162,356
163,167
164,282
165,737
