Time,[Lorg.postgresql.core.Field; Data
0,229
1,116
2,625
3,116
4,367
5,117
6,560
7,116
8,556
9,116
10,205
11,620
12,116
13,555
14,116
15,44
16,549
17,114
18,460
19,458
20,263
21,84
22,550
23,116
24,542
25,116
26,261
27,498
28,116
29,525
30,179
31,486
32,116
33,47
34,291
35,114
36,549
37,116
38,311
39,116
40,573
41,116
42,647
43,224
44,608
45,224
46,131
47,258
48,83
49,138
50,142
51,578
52,117
53,151
54,256
55,544
56,116
57,607
58,130
59,609
60,118
61,590
62,117
63,290
64,235
65,702
66,225
67,290
68,117
69,415
70,276
71,177
72,247
73,651
74,116
75,303
76,99
77,735
78,116
79,559
80,117
81,189
82,632
83,117
84,500
85,536
86,325
87,117
88,777
89,225
90,472
91,115
92,429
93,115
94,191
95,150
96,625
97,117
98,250
99,127
100,310
101,127
102,593
103,117
104,410
105,125
106,469
107,190
108,199
109,626
110,123
111,320
112,125
113,252
114,637
115,125
116,899
117,127
118,670
119,117
120,213
121,569
122,537
123,118
124,655
125,128
126,963
127,128
128,782
129,118
130,256
131,492
132,299
133,471
134,126
135,601
136,126
137,402
138,118
139,427
140,610
141,124
142,405
143,544
144,126
145,609
146,126
147,350
148,408
149,516
150,126
151,489
152,192
153,1001
154,238
155,1002
156,236
157,455
158,121
159,562
160,124
161,564
162,124
163,194
164,842
165,234
166,784
167,126
168,373
169,275
170,124
171,235
172,499
173,124
174,467
175,277
176,124
177,464
178,121
179,479
180,124
181,279
182,116
183,564
184,126
185,524
186,124
187,283
188,116
189,894
190,234
191,296
192,124
193,1021
194,234
195,665
196,124
197,207
198,879
199,232
200,825
201,410
202,124
203,1013
204,232
205,722
206,232
207,1046
208,236
209,669
210,116
211,557
212,673
213,124
214,298
215,778
216,232
217,1006
218,234
219,681
220,116
221,888
222,229
223,366
224,116
225,709
226,118
227,519
228,880
229,112
230,1039
231,232
232,606
233,116
234,969
235,232
236,252
237,682
238,192
239,963
240,150
241,352
242,116
243,964
244,231
245,532
246,689
247,118
248,1110
249,234
250,671
251,118
252,687
253,118
254,1085
255,234
256,649
257,118
258,675
259,118
260,1085
261,234
262,648
263,78
264,527
265,248
266,652
267,116
268,633
269,922
270,125
271,1156
272,234
273,249
274,569
275,743
276,232
277,743
278,236
279,1098
280,234
281,316
282,595
283,116
284,242
285,633
286,757
287,233
288,678
289,125
290,1055
291,117
292,1125
293,235
294,1099
295,229
296,371
297,581
298,125
299,521
300,669
301,127
302,894
303,127
304,253
305,389
306,125
307,622
308,125
309,367
310,127
311,656
312,129
313,724
314,127
315,665
316,127
317,781
318,127
319,990
320,235
321,723
322,117
323,1003
324,127
325,1140
326,235
327,499
328,123
329,606
330,125
331,669
332,127
333,451
334,125
335,604
336,125
337,678
338,125
339,444
340,571
341,291
342,125
343,327
344,339
345,1068
346,235
