Time,org.hibernate.hql.ast.HqlToken Data
0,1898
1,278
2,2656
3,278
4,2469
5,278
6,2834
7,278
8,3067
9,278
10,2744
11,278
12,3445
13,278
14,3642
15,278
16,2498
17,278
18,3176
19,278
20,3084
21,278
22,3115
23,278
24,3403
25,278
26,3997
27,278
28,4142
29,278
30,3895
31,278
32,4572
33,278
34,4428
35,278
36,4472
37,278
38,5013
39,278
40,2944
41,278
42,3467
43,278
44,3855
45,278
46,3845
47,278
48,4233
49,278
50,4756
51,278
52,4918
53,278
54,4330
55,278
56,4599
57,278
58,4720
59,278
60,4804
61,278
62,5493
63,278
64,2854
65,278
66,3075
67,278
68,3590
69,278
70,3933
71,278
72,4143
73,278
74,4340
75,278
76,4030
77,278
78,4240
79,278
80,5241
81,278
82,4931
83,278
84,4839
85,278
86,5338
87,278
88,2945
89,278
90,3144
91,278
92,3843
93,278
94,3677
95,278
96,4234
97,278
98,4433
99,278
100,4110
101,278
102,4811
103,278
104,4559
105,278
106,4727
107,278
108,5221
109,278
110,5922
111,278
112,3391
113,278
114,3423
115,278
116,3320
117,278
118,3488
119,278
120,4189
121,278
122,4221
123,278
124,4417
125,278
126,4777
127,278
128,4814
129,278
130,4693
131,278
132,4872
133,278
134,5042
135,278
136,3444
137,278
138,3452
139,278
140,3320
141,278
142,3998
143,278
144,4247
145,278
146,4399
147,278
148,2841
149,278
150,3188
151,278
152,3521
153,278
154,3909
155,278
156,4272
157,278
158,4287
159,278
160,4006
161,278
162,4245
163,278
164,4384
165,278
166,4907
167,278
168,5282
169,278
170,5285
171,278
172,3027
173,278
174,3526
175,278
176,3227
177,278
178,3757
179,278
180,4127
181,278
182,3842
183,278
184,4025
185,278
186,4555
187,278
188,4559
189,278
190,4602
191,278
192,5634
193,278
194,5991
195,278
196,3383
197,278
198,3593
199,278
200,3803
201,278
202,3480
203,278
204,4494
205,278
206,4389
207,278
208,4079
209,278
210,4591
211,278
212,4488
213,278
214,4987
215,278
216,4895
217,278
218,5389
219,278
220,3359
221,278
222,3409
223,278
224,3601
225,278
226,3947
227,278
228,3997
229,278
230,4189
231,278
232,5032
233,278
234,4567
235,278
236,5446
237,278
238,5135
239,278
240,4842
241,278
242,5856
243,278
244,3549
245,278
246,3391
247,278
248,4270
249,278
250,4289
251,278
252,4488
253,278
254,4367
255,278
256,4115
257,278
258,4745
259,278
260,4464
261,278
262,5478
263,278
264,5664
265,278
266,5543
267,278
268,3882
269,278
270,3566
271,278
272,3780
273,278
274,3517
275,278
276,4205
277,278
278,4834
279,278
280,4567
281,278
282,5255
283,278
284,4454
285,278
286,5166
287,278
288,5524
289,278
290,5355
291,278
292,3924
293,278
294,3300
295,278
296,3811
297,278
298,4512
299,278
300,4231
301,278
302,4399
303,278
304,5100
305,278
306,4819
307,278
308,4987
309,278
310,5688
311,278
312,5105
313,278
314,5113
315,278
316,2910
317,278
318,3611
319,278
320,3454
321,278
322,4018
323,278
324,4701
325,278
326,3876
327,278
328,4115
329,278
330,5100
331,278
332,5285
333,278
334,5642
335,278
336,4895
337,278
338,5572
339,278
340,2910
341,278
342,3309
343,278
344,4121
345,278
346,3989
347,278
348,4365
349,278
350,4898
351,278
352,5068
353,278
354,4307
355,278
356,4984
357,278
358,4685
359,278
360,5375
361,278
362,5614
363,278
364,2900
365,278
366,3423
367,278
368,3811
369,278
370,3801
371,278
372,4189
373,278
374,4410
375,278
376,4567
377,278
378,4788
379,278
380,5442
381,278
382,5155
383,278
384,5394
385,278
386,6066
387,278
388,3219
389,278
390,3607
391,278
392,3817
393,278
394,3807
395,278
396,4195
397,278
398,4405
399,278
400,4093
401,278
402,4481
403,278
404,4794
405,278
406,4681
407,278
408,4891
409,278
410,6030
411,278
