Time,com.mchange.v2.c3p0.impl.NewProxyResultSet$1 Data
0,534
1,476
2,478
3,553
4,488
5,531
6,438
7,381
8,537
9,494
10,493
11,484
12,430
13,534
14,544
15,642
16,573
17,581
18,483
19,552
20,544
21,469
22,621
23,260
24,555
25,631
26,489
27,553
28,366
29,403
30,672
31,559
32,361
33,560
34,578
35,375
36,401
37,616
38,516
39,824
40,570
41,411
42,374
43,554
44,891
45,638
46,315
47,486
48,465
49,486
50,455
51,541
52,417
53,363
54,992
55,1004
56,545
57,538
58,480
59,899
60,791
61,474
62,389
63,552
64,438
65,580
66,448
67,987
68,1096
69,620
70,895
71,964
72,1078
73,623
74,1013
75,556
76,362
77,545
78,683
79,1027
80,560
81,1086
82,654
83,372
84,867
85,1076
86,536
87,1029
88,634
89,1063
90,1096
91,406
92,571
93,1104
94,533
95,569
96,1104
97,527
98,554
99,1086
100,453
101,412
102,516
103,481
104,871
105,1171
106,393
107,678
108,640
109,1083
110,470
111,453
112,611
113,561
114,1007
115,1106
116,1111
117,457
118,326
119,545
120,851
121,487
122,552
123,593
124,533
125,626
126,954
127,626
128,932
129,1081
130,381
131,544
132,601
133,365
134,525
135,551
136,464
137,1139
