Time,java.util.Formatter$FixedString Data
0,232
1,212
2,264
3,241
4,240
5,257
6,251
7,245
8,235
9,249
10,290
11,259
12,298
13,270
14,277
15,236
16,236
17,305
18,290
19,319
20,225
21,249
22,221
23,288
24,266
25,313
26,358
27,234
28,283
29,350
30,338
31,200
32,281
33,406
34,369
35,249
36,214
37,249
38,226
39,455
40,437
41,253
42,215
43,348
44,416
45,184
46,250
47,211
48,257
49,211
50,324
51,219
52,418
53,483
54,349
55,374
56,435
57,456
58,295
59,512
60,283
61,256
62,337
63,530
64,299
65,468
66,376
67,388
68,516
69,507
70,281
71,549
72,473
73,177
74,327
75,533
76,240
77,329
78,540
79,281
80,518
81,247
82,249
83,414
84,562
85,212
86,292
87,340
88,488
89,210
90,291
91,316
92,428
93,555
94,539
95,260
96,344
97,255
98,280
99,242
100,298
101,416
102,371
103,426
104,491
105,248
106,272
107,231
108,276
109,622
