Time,org.springframework.aop.aspectj.MethodInvocationProceedingJoinPoint Data
0,205
1,194
2,183
3,222
4,187
5,213
6,168
7,166
8,209
9,215
10,198
11,204
12,169
13,210
14,217
15,265
16,235
17,249
18,208
19,223
20,216
21,174
22,240
23,223
24,263
25,192
26,224
27,144
28,176
29,263
30,229
31,140
32,233
33,247
34,175
35,253
36,196
37,313
38,238
39,161
40,225
41,356
42,269
43,125
44,189
45,185
46,191
47,187
48,217
49,160
50,136
51,389
52,377
53,214
54,211
55,187
56,349
57,309
58,207
59,171
60,222
61,171
62,250
63,180
64,366
65,434
66,260
67,344
68,377
69,421
70,248
71,406
72,231
73,143
74,219
75,278
76,421
77,233
78,423
79,288
80,150
81,343
82,420
83,209
84,400
85,267
86,443
87,430
88,157
89,241
90,443
91,209
92,242
93,443
94,206
95,227
96,429
97,173
98,189
99,194
100,202
101,353
102,474
103,175
104,271
105,262
106,421
107,176
108,180
109,237
110,234
111,396
112,440
113,444
114,165
115,140
116,218
117,336
118,192
119,223
120,250
121,209
122,263
123,372
124,261
125,374
126,417
127,217
128,238
129,205
130,225
131,188
132,473
