Time,com.sun.xml.bind.v2.runtime.property.TagAndType Data
0,3617
1,366
2,7577
3,366
4,7577
5,366
6,7577
7,366
8,7577
9,366
10,7577
11,366
12,141
13,7577
14,366
15,7577
16,366
17,7577
18,366
19,141
20,7577
21,366
22,7577
23,366
24,7577
25,366
26,7577
27,366
28,7577
29,366
30,7577
31,366
32,7577
33,366
34,7577
35,366
36,7577
37,366
38,7577
39,366
40,141
41,7577
42,366
43,7577
44,366
45,141
46,7577
47,366
48,7577
49,366
50,7577
51,366
52,7577
53,366
54,7577
55,366
56,7577
57,366
58,7577
59,366
60,141
61,7577
62,366
63,141
64,7577
65,366
66,141
67,7577
68,366
69,141
70,7577
71,366
72,7577
73,366
74,141
75,7577
76,366
77,141
78,7577
79,366
80,7577
81,366
82,7577
83,366
84,7577
85,366
86,7577
87,366
88,141
89,7577
90,366
91,141
92,7577
93,366
94,7577
95,366
96,7577
97,366
98,7577
99,366
100,141
101,7577
102,366
103,7577
104,366
105,141
106,7577
107,366
108,7577
109,366
110,7577
111,366
112,7577
113,366
114,7577
115,366
116,141
117,7577
118,366
119,7577
120,366
121,7577
122,366
123,7577
124,366
125,7577
126,366
127,7577
128,366
129,7577
130,366
131,7577
132,366
133,141
134,7577
135,366
136,141
137,7577
138,366
139,7577
140,366
141,7577
142,366
143,7577
144,366
145,7577
146,366
147,7577
148,366
149,7577
150,366
151,141
152,7577
153,366
154,141
155,7577
156,366
157,7577
158,366
159,7577
160,366
161,141
162,7577
163,366
164,7577
165,366
166,7577
167,366
168,7577
169,366
170,141
171,7577
172,366
173,7577
174,366
175,7577
176,366
177,7577
178,366
179,7577
180,366
181,7577
182,366
183,141
184,7577
185,366
186,7577
187,366
188,141
189,7577
190,366
191,7577
192,366
193,7577
194,366
195,7577
196,366
197,7577
198,366
199,7577
200,366
201,7577
202,366
203,7577
204,366
205,7577
206,366
207,7577
208,366
209,7577
210,366
211,7577
212,366
213,7577
214,366
215,141
216,7577
217,366
218,7577
219,366
220,7577
221,366
222,7577
223,366
224,7577
225,366
226,7577
227,366
228,141
229,7577
230,366
231,7577
232,366
233,7577
234,366
235,7577
236,366
237,7577
238,366
239,141
240,7577
241,366
242,7577
243,366
244,7577
245,366
246,7577
247,366
248,7577
249,366
250,7577
251,366
252,7577
253,366
254,7577
255,366
256,7577
257,366
258,7577
259,366
260,7577
261,366
262,7577
263,366
264,7577
265,366
266,7577
267,366
268,141
269,7577
270,366
271,7577
272,366
273,7577
274,366
275,7577
276,366
277,7577
278,366
279,7577
280,366
281,7577
282,366
283,7577
284,366
285,7577
286,366
287,7577
288,366
289,141
290,7577
291,366
292,7577
293,366
294,7577
295,366
296,7577
297,366
298,7577
299,366
300,7577
301,366
302,7577
303,366
304,7577
305,366
306,7577
307,366
308,7577
309,366
310,7577
311,366
312,7577
313,366
314,141
315,7577
316,366
317,7577
318,366
319,7577
320,366
321,7577
322,366
323,7577
324,366
325,7577
326,366
327,7577
328,366
329,7577
330,366
331,7577
332,366
333,7577
334,366
335,7577
336,366
337,7577
338,366
339,7577
340,366
341,7577
342,366
343,7577
344,366
345,7577
346,366
347,141
348,7577
349,366
350,7577
351,366
352,7577
353,366
354,7577
355,366
356,7577
357,366
358,141
359,7577
360,366
361,7577
362,366
363,7577
364,366
365,7577
366,366
367,7577
368,366
369,141
370,7577
371,366
372,7577
373,366
374,141
375,7577
376,366
377,7577
378,366
379,7577
380,366
381,7577
382,366
383,7577
384,366
385,7577
386,366
387,7577
388,366
389,141
390,7577
391,366
392,7577
393,366
394,7577
395,366
396,7577
397,366
398,7577
399,366
400,141
401,7577
402,366
403,7577
404,366
405,7577
406,366
407,7577
408,366
409,7577
410,366
411,7577
412,366
413,7577
414,366
415,7577
416,366
417,7577
418,366
419,7577
420,366
421,7577
422,366
423,7577
424,366
425,7577
426,366
427,7577
428,366
429,7577
430,366
431,7577
432,366
433,7577
434,366
435,7577
436,366
437,7577
438,366
439,7577
440,366
441,7577
442,366
443,7577
444,366
445,7577
446,366
