Time,com.sun.xml.bind.v2.model.annotation.XmlElementDeclQuick Data
0,1201
1,2521
2,2521
3,2521
4,2521
5,2521
6,2521
7,2521
8,2521
9,2521
10,2521
11,2521
12,2521
13,2521
14,2521
15,2521
16,2521
17,2521
18,2521
19,2521
20,2521
21,2521
22,2521
23,2521
24,2521
25,2521
26,2521
27,2521
28,2521
29,2521
30,2521
31,2521
32,2521
33,2521
34,2521
35,2521
36,2521
37,2521
38,2521
39,2521
40,2521
41,2521
42,2521
43,2521
44,2521
45,2521
46,2521
47,2521
48,2521
49,2521
50,2521
51,2521
52,2521
53,2521
54,2521
55,2521
56,2521
57,2521
58,2521
59,2521
60,2521
61,2521
62,2521
63,2521
64,2521
65,2521
66,2521
67,2521
68,2521
69,2521
70,2521
71,2521
72,2521
73,2521
74,2521
75,2521
76,2521
77,2521
78,2521
79,2521
80,2521
81,2521
82,2521
83,2521
84,2521
85,2521
86,2521
87,2521
88,2521
89,2521
90,2521
91,2521
92,2521
93,2521
94,2521
95,2521
96,2521
97,2521
98,2521
99,2521
100,2521
101,2521
102,2521
103,2521
104,2521
105,2521
106,2521
107,2521
108,2521
109,2521
110,2521
111,2521
112,2521
113,2521
114,2521
115,2521
116,2521
117,2521
118,2521
119,2521
120,2521
121,2521
122,2521
123,2521
124,2521
125,2521
126,2521
127,2521
128,2521
129,2521
130,2521
131,2521
132,2521
133,2521
134,2521
135,2521
136,2521
137,2521
138,2521
139,2521
140,2521
141,2521
142,2521
143,2521
144,2521
145,2521
146,2521
147,2521
148,2521
149,2521
150,2521
151,2521
152,2521
153,2521
154,2521
155,2521
156,2521
157,2521
158,2521
159,2521
160,2521
161,2521
162,2521
163,2521
164,2521
165,2521
166,2521
167,2521
168,2521
169,2521
170,2521
171,2521
172,2521
173,2521
174,2521
175,2521
176,2521
177,2521
178,2521
179,2521
180,2521
181,2521
182,2521
183,2521
184,2521
185,2521
186,2521
187,2521
188,2521
189,2521
190,2521
191,2521
192,2521
193,2521
194,2521
195,2521
196,2521
197,2521
198,2521
199,2521
200,2521
201,2521
202,2521
203,2521
204,2521
205,2521
