Time,[Ljavax.xml.namespace.QName; Data
0,2847
1,5478
2,5478
3,5478
4,5476
5,5476
6,5478
7,5476
8,5476
9,5478
10,5478
11,5478
12,5478
13,5478
14,5478
15,5478
16,5476
17,5478
18,5477
19,5478
20,5476
21,5478
22,5478
23,5478
24,5478
25,5480
26,5478
27,5476
28,5478
29,5476
30,5476
31,5478
32,5478
33,5478
34,5478
35,5478
36,5478
37,5476
38,5476
39,5476
40,5478
41,5478
42,5478
43,5476
44,5478
45,5476
46,5478
47,5478
48,5480
49,5476
50,5476
51,5478
52,5478
53,5478
54,5478
55,5480
56,5478
57,5478
58,5476
59,5476
60,5478
61,5478
62,5478
63,5478
64,5476
65,5478
66,5476
67,5476
68,5480
69,5476
70,5476
71,5478
72,5478
73,5478
74,5478
75,5476
76,5478
77,5478
78,5478
79,5479
80,5476
81,5478
82,5476
83,5478
84,5476
85,5478
86,5478
87,5476
88,5478
89,5478
90,5478
91,5478
92,5478
93,5478
94,5476
95,5476
96,5480
97,5478
98,5478
99,5478
100,5478
101,5476
102,5480
103,5478
104,5478
105,5478
106,5476
107,5478
108,5478
109,5478
110,5478
111,5478
112,5478
113,5478
114,5478
115,5478
116,5478
117,5478
118,5480
119,5478
120,5476
121,5480
122,5478
123,5478
124,5480
125,5478
126,5480
127,5478
128,5478
129,5478
130,5478
131,5480
132,5480
133,5478
134,5480
135,5476
136,5480
137,5478
138,5478
139,5480
140,5478
141,5478
142,5476
143,5480
144,5480
145,5478
146,5480
147,5476
148,5478
149,5480
150,5478
151,5478
152,5480
153,5478
154,5478
155,5480
156,5478
157,5478
158,5476
159,5478
160,5478
161,5480
162,5482
163,5476
164,5478
165,5480
166,5478
167,5480
168,5478
169,5476
170,5476
171,5478
172,5478
173,5478
174,5480
175,5480
176,5480
177,5478
178,5476
179,5478
180,5478
181,5478
182,5476
183,5478
184,5478
185,5478
186,5478
187,5480
188,5478
189,5480
190,5478
191,5478
192,5480
193,5480
194,5478
195,5478
196,5478
197,5478
198,5478
199,5478
200,5478
201,5478
202,5476
203,5478
204,5478
205,5480
