Time,java.util.regex.Pattern$Dot Data
0,505
1,545
2,527
3,534
4,539
5,509
6,546
7,545
8,501
9,535
10,532
11,529
12,510
13,547
14,542
15,515
16,547
17,541
18,502
19,533
20,503
21,520
22,547
23,522
24,546
25,550
26,545
27,504
28,503
29,511
30,508
31,550
32,509
33,512
34,549
35,548
36,543
37,546
38,510
39,503
40,558
41,523
42,512
43,505
44,511
45,502
46,555
47,511
48,556
49,546
50,502
51,544
52,531
53,541
54,505
55,550
56,547
57,516
58,502
59,510
60,554
61,515
62,522
63,555
64,535
65,543
66,510
67,509
68,547
69,512
70,511
71,535
72,565
73,557
74,509
75,541
76,524
77,548
78,577
79,558
80,503
81,531
82,511
83,525
84,547
85,520
86,542
87,547
88,521
89,542
90,541
91,517
92,524
93,533
94,533
95,504
96,581
97,583
98,547
99,541
100,540
101,503
102,559
103,575
104,521
105,526
106,503
107,542
108,539
109,511
110,547
111,540
112,516
113,552
114,540
115,504
116,578
117,521
118,585
119,562
120,511
121,564
122,580
123,525
124,583
125,550
126,588
127,548
128,532
129,548
130,510
131,562
132,590
133,554
134,584
135,517
136,565
137,532
138,577
139,591
140,541
141,592
142,512
143,549
144,593
145,522
146,586
147,539
148,556
149,593
150,547
151,556
152,593
153,541
154,548
155,592
156,536
157,543
158,508
159,539
160,543
161,573
162,595
163,504
164,539
165,551
166,559
167,591
168,510
169,542
170,508
171,534
172,556
173,554
174,578
175,601
176,596
177,510
178,538
179,529
180,547
181,565
182,506
183,516
184,540
185,522
186,548
187,556
188,545
189,556
190,578
191,557
192,578
193,592
194,523
195,546
196,549
197,524
198,544
199,548
200,524
201,536
202,513
203,510
204,515
205,604
