Time,java.util.Collections$UnmodifiableCollection$1 Data
0,160
1,276
2,246
3,243
4,326
5,286
6,86
7,218
8,205
9,331
10,257
11,273
12,236
13,231
14,223
15,307
16,297
17,310
18,233
19,289
20,222
21,249
22,229
23,262
24,248
25,300
26,283
27,298
28,290
