Time,org.apache.hadoop.hdfs.protocol.proto.HdfsProtos$HdfsFileStatusProto Data
0,196
1,106
2,170
3,174
4,24
5,197
6,196
7,172
8,150
9,145
10,197
11,194
12,95
13,197
14,176
15,168
16,112
17,197
18,102
19,199
20,207
21,216
22,64
23,201
24,27
25,60
26,198
27,200
28,186
29,199
30,285
31,125
32,66
33,249
34,250
35,197
36,189
37,146
38,173
39,217
40,200
41,89
42,24
43,222
44,88
45,99
46,225
47,169
48,174
49,73
50,26
51,200
52,80
53,27
54,172
55,317
56,226
57,44
58,167
59,115
60,200
61,345
62,227
63,146
64,27
65,142
66,197
67,98
68,177
69,200
70,92
71,194
72,175
73,121
74,150
75,150
76,368
77,371
78,200
79,175
80,174
81,286
82,329
83,92
84,101
85,194
86,172
87,75
88,200
89,193
90,84
91,212
92,193
93,369
94,102
95,373
96,293
97,27
98,289
99,350
100,142
101,372
102,222
103,393
104,200
105,147
106,200
107,27
108,278
109,394
110,222
111,373
112,54
113,279
114,147
115,343
116,377
117,175
118,395
119,201
120,378
121,99
122,374
123,153
124,223
125,396
126,197
127,223
128,396
129,175
130,200
131,398
132,152
133,174
134,23
135,174
136,177
137,341
138,401
139,172
140,226
141,245
142,377
143,51
144,170
145,23
146,150
147,273
148,222
149,349
150,448
151,400
152,51
153,173
154,118
155,197
156,315
157,84
158,174
159,99
160,200
161,258
162,197
163,250
164,366
165,226
166,346
167,395
168,115
169,199
170,201
171,114
172,198
173,200
174,121
175,152
176,46
177,95
178,423
