Time,java.lang.NumberFormatException Data
0,199
1,224
2,223
3,205
4,213
5,241
6,223
7,235
8,254
9,262
10,240
11,196
12,250
13,249
14,268
15,245
16,263
17,263
18,262
19,205
20,277
21,250
22,214
23,275
24,275
25,213
26,249
27,299
