Time,org.apache.hadoop.hdfs.protocol.DatanodeInfo Data
0,61
1,313
2,193
3,249
4,248
5,81
6,346
7,320
8,267
9,205
10,267
11,88
12,316
13,331
14,148
15,328
16,312
17,26
18,228
19,28
20,203
21,322
22,245
23,324
24,375
25,351
26,31
27,94
28,125
29,379
30,98
31,114
32,355
33,339
34,291
35,301
36,99
37,22
38,450
39,230
40,121
41,52
42,121
43,440
44,91
45,461
46,309
47,308
48,203
49,310
50,56
51,371
52,351
53,161
54,76
55,405
56,137
57,234
58,429
59,237
60,318
61,85
62,72
63,357
64,106
65,87
66,249
67,487
68,424
69,108
70,256
71,264
72,358
73,538
74,464
75,29
76,203
77,99
78,233
79,328
80,236
81,291
82,322
83,218
84,319
85,276
86,143
87,209
88,230
89,197
90,26
91,587
92,560
93,333
94,271
95,249
96,18
97,496
98,545
99,213
100,163
101,331
102,289
103,127
104,345
105,303
106,136
107,394
108,310
109,49
110,545
111,221
112,610
113,462
114,93
115,500
116,574
117,240
118,597
119,376
120,670
121,359
122,212
123,341
124,94
125,484
126,690
127,405
128,604
129,141
130,544
131,215
132,526
133,640
134,264
135,645
136,108
137,375
138,692
139,233
140,613
141,238
142,420
143,685
144,317
145,426
146,685
147,264
148,352
149,670
150,218
151,319
152,61
153,243
154,316
155,581
156,708
157,24
158,288
159,394
160,448
161,642
162,116
163,254
164,60
165,217
166,444
167,410
168,553
169,764
170,692
171,115
172,228
173,256
174,334
175,490
176,42
177,148
178,255
179,245
180,339
181,438
182,319
183,459
184,563
185,443
186,573
187,642
188,226
189,323
190,347
191,232
192,302
193,338
194,225
195,235
196,107
197,115
198,129
199,777
