Time,com.sun.org.apache.xerces.internal.utils.XMLLimitAnalyzer Data
0,89
1,135
2,144
3,175
4,143
5,140
6,123
7,135
8,167
9,151
10,144
11,135
12,143
13,172
14,163
15,223
16,203
17,99
18,231
19,192
20,183
21,159
22,133
23,247
24,139
25,103
26,207
27,231
28,127
29,191
30,123
31,226
32,199
33,119
34,199
35,155
36,246
37,131
38,207
39,203
40,239
41,151
42,198
43,211
44,279
45,143
46,143
47,155
48,115
49,159
50,139
51,151
52,151
53,135
54,107
55,287
56,263
57,175
58,143
59,303
60,235
61,131
62,167
63,191
64,135
65,239
66,143
67,240
68,140
69,319
70,227
71,295
72,275
73,159
74,303
75,235
76,343
77,207
78,180
79,259
80,367
81,199
82,319
83,147
84,294
85,211
86,299
87,135
88,303
89,85
90,223
91,363
92,155
93,327
94,215
95,351
96,135
97,223
98,351
99,135
100,199
101,343
102,131
103,136
104,275
105,383
106,251
107,259
108,299
109,227
110,207
111,247
112,367
113,374
114,115
115,159
116,211
117,125
118,171
119,181
120,215
121,167
122,231
123,263
124,263
125,259
126,303
127,159
128,166
129,189
130,167
131,143
132,183
133,131
134,415
