Time,java.util.concurrent.atomic.AtomicBoolean Data
0,307
1,374
2,369
3,355
4,363
5,320
6,382
7,375
8,280
9,348
10,332
11,359
12,335
13,366
14,365
15,336
16,368
17,361
18,294
19,337
20,289
21,352
22,369
23,364
24,368
25,405
26,379
27,303
28,319
29,318
30,323
31,389
32,321
33,341
34,399
35,392
36,383
37,377
38,342
39,321
40,424
41,374
42,343
43,340
44,331
45,310
46,422
47,342
48,428
49,381
50,311
51,395
52,349
53,379
54,345
55,423
56,363
57,332
58,294
59,305
60,385
61,330
62,359
63,394
64,341
65,361
66,308
67,303
68,372
69,327
70,317
71,349
72,415
73,402
74,312
75,368
76,372
77,390
78,429
79,441
80,320
81,344
82,329
83,378
84,383
85,370
86,345
87,368
88,354
89,364
90,361
91,360
92,358
93,338
94,328
95,302
96,360
97,356
98,349
99,291
100,417
101,349
102,347
103,302
104,362
105,350
106,322
107,362
108,354
109,328
110,391
111,356
112,317
113,352
114,410
115,312
116,410
117,363
118,405
119,375
120,333
121,371
122,335
123,423
124,388
125,344
126,436
127,334
128,412
129,353
130,330
131,403
132,478
133,358
134,346
135,396
136,368
137,398
138,360
139,376
140,339
141,366
142,299
143,342
144,361
145,433
146,484
147,294
148,350
149,407
150,320
151,349
152,301
153,334
154,406
155,388
156,418
157,322
158,343
159,352
160,368
161,409
162,317
163,343
164,363
165,370
166,387
167,415
168,374
169,419
170,416
171,432
172,353
173,366
174,385
175,357
176,357
177,371
178,357
179,337
180,319
181,335
182,330
