Time,[Ljava.lang.StackTraceElement; Data
0,214
1,828
2,492
3,747
4,690
5,102
6,935
7,751
8,41
9,847
10,595
11,670
12,269
13,827
14,856
15,327
16,790
17,817
18,154
19,610
20,101
21,431
22,837
23,566
24,871
25,1136
26,954
27,239
28,61
29,267
30,1069
31,242
32,267
33,886
34,924
35,885
36,658
37,218
38,139
39,1066
40,440
41,406
42,134
43,364
44,29
45,996
46,246
47,1194
48,733
49,935
50,513
51,715
52,319
53,1141
54,972
55,578
56,65
57,973
58,284
59,516
60,1056
61,512
62,715
63,19
64,59
65,1097
66,119
67,108
68,759
69,1221
70,1019
71,272
72,606
73,646
74,942
75,1376
76,1223
77,112
78,420
79,147
80,534
81,752
82,490
83,729
84,752
85,551
86,760
87,875
88,448
89,471
90,597
91,432
92,65
93,1594
94,1485
95,886
96,841
97,693
98,53
99,1491
100,1277
101,528
102,312
103,94
104,818
105,640
106,287
107,934
108,669
109,295
110,1082
111,722
112,285
113,1411
114,442
115,1792
116,1109
117,135
118,1459
119,1539
120,483
121,1728
122,1061
123,1704
124,964
125,518
126,892
127,212
128,1252
129,1790
130,973
131,1758
132,419
133,1330
134,556
135,1297
136,1715
137,826
138,1620
139,249
140,1169
141,1895
142,490
143,1796
144,577
145,1022
146,1855
147,826
148,1033
149,1855
150,802
151,942
152,1774
153,637
154,744
155,733
156,809
157,1472
158,2029
159,65
160,648
161,1177
162,1130
163,1718
164,261
165,621
166,41
167,664
168,1031
169,984
170,1579
171,1892
172,1865
173,261
174,588
175,591
176,886
177,1303
178,102
179,346
180,731
181,566
182,920
183,1105
184,841
185,1192
186,1462
187,1169
188,1536
189,1709
190,684
191,871
192,1011
193,659
194,793
195,921
196,546
197,718
198,209
199,325
200,321
201,2031
