Time,[Lcom.sun.org.apache.xerces.internal.util.XMLAttributesImpl$Attribute; Data
0,273
1,421
2,443
3,347
4,359
5,121
6,541
7,445
8,433
9,149
10,379
11,193
12,421
13,517
14,257
15,469
16,439
17,119
18,275
19,119
20,419
21,445
22,525
23,503
24,685
25,631
26,119
27,111
28,299
29,709
30,241
31,177
32,591
33,565
34,491
35,413
36,241
37,75
38,767
39,427
40,207
41,185
42,313
43,637
44,193
45,709
46,397
47,587
48,137
49,379
50,257
51,699
52,613
53,369
54,97
55,615
56,297
57,475
58,755
59,299
60,403
61,121
62,637
63,189
64,189
65,367
66,631
67,735
68,167
69,283
70,467
71,611
72,655
73,855
74,95
75,137
76,209
77,445
78,445
79,475
80,355
81,493
82,425
83,469
84,467
85,409
86,331
87,299
88,115
89,95
90,889
91,817
92,541
93,443
94,353
95,71
96,935
97,727
98,401
99,267
100,517
101,307
102,229
103,589
104,421
105,257
106,733
107,445
108,221
109,747
110,429
111,985
112,703
113,217
114,911
115,847
116,493
117,937
118,727
119,1059
120,637
121,161
122,553
123,217
124,799
125,1131
126,615
127,985
128,451
129,901
130,185
131,655
132,921
133,419
134,939
135,259
136,685
137,1113
138,475
139,1009
140,271
141,663
142,1083
143,421
144,687
145,1083
146,419
147,613
148,1059
149,209
150,403
151,345
152,417
153,849
154,1179
155,95
156,307
157,775
158,801
159,921
160,143
161,349
162,233
163,703
164,639
165,761
166,1131
167,1151
168,143
169,299
170,353
171,493
172,653
173,121
174,311
175,389
176,523
177,557
178,661
179,517
180,709
181,817
182,807
183,799
184,939
185,491
186,513
187,583
188,515
189,445
190,565
191,403
192,281
193,259
194,265
195,185
196,1277
