Time,org.apache.hadoop.hdfs.DFSOutputStream Data
0,32
1,34
2,34
3,38
4,35
5,25
6,38
7,35
8,41
9,44
10,40
11,39
12,45
13,39
14,41
15,44
16,47
17,48
18,34
19,43
20,40
21,37
22,51
23,51
24,52
25,44
26,35
27,52
28,35
29,52
30,51
31,43
32,54
33,51
34,34
35,40
36,56
37,53
38,36
39,35
40,40
41,50
42,60
