Time,org.hibernate.hql.ast.tree.FromElement Data
0,540
1,70
2,681
3,70
4,737
5,70
6,807
7,70
8,877
9,70
10,933
11,70
12,1003
13,70
14,1072
15,70
16,847
17,70
18,917
19,70
20,987
21,70
22,1043
23,70
24,1113
25,70
26,1183
27,70
28,1239
29,70
30,1309
31,70
32,1378
33,70
34,1435
35,70
36,1505
37,70
38,1575
39,70
40,984
41,70
42,1054
43,70
44,1124
45,70
46,1180
47,70
48,1250
49,70
50,1320
51,70
52,1383
53,70
54,1446
55,70
56,1516
57,70
58,1578
59,70
60,1606
61,70
62,1670
63,70
64,954
65,70
66,1024
67,70
68,1081
69,70
70,1150
71,70
72,1220
73,70
74,1289
75,70
76,1346
77,70
78,1416
79,70
80,1485
81,70
82,1542
83,70
84,1612
85,70
86,1681
87,70
88,981
89,70
90,1051
91,70
92,1120
93,70
94,1177
95,70
96,1247
97,70
98,1317
99,70
100,1373
101,70
102,1443
103,70
104,1513
105,70
106,1569
107,70
108,1639
109,70
110,1709
111,70
112,969
113,70
114,1039
115,70
116,1109
117,70
118,1165
119,70
120,1235
121,70
122,1305
123,70
124,1368
125,70
126,1431
127,70
128,1500
129,70
130,1557
131,70
132,1626
133,70
134,1683
135,70
136,983
137,70
138,1052
139,70
140,1109
141,70
142,1179
143,70
144,1248
145,70
146,1305
147,70
148,948
149,70
150,1010
151,70
152,1074
153,70
154,1144
155,70
156,1213
157,70
158,1270
159,70
160,1340
161,70
162,1410
163,70
164,1466
165,70
166,1536
167,70
168,1605
169,70
170,1662
171,70
172,950
173,70
174,1019
175,70
176,1076
177,70
178,1146
179,70
180,1216
181,70
182,1273
183,70
184,1342
185,70
186,1412
187,70
188,1474
189,70
190,1538
191,70
192,1608
193,70
194,1677
195,70
196,967
197,70
198,1037
199,70
200,1107
201,70
202,1163
203,70
204,1233
205,70
206,1302
207,70
208,1359
209,70
210,1429
211,70
212,1499
213,70
214,1555
215,70
216,1625
217,70
218,1695
219,70
220,961
221,70
222,1031
223,70
224,1101
225,70
226,1157
227,70
228,1227
229,70
230,1297
231,70
232,1366
233,70
234,1423
235,70
236,1493
237,70
238,1555
239,70
240,1619
241,70
242,1689
243,70
244,967
245,70
246,1031
247,70
248,1101
249,70
250,1170
251,70
252,1227
253,70
254,1297
255,70
256,1367
257,70
258,1423
259,70
260,1493
261,70
262,1563
263,70
264,1619
265,70
266,1689
267,70
268,969
269,70
270,1037
271,70
272,1095
273,70
274,1165
275,70
276,1234
277,70
278,1291
279,70
280,1361
281,70
282,1430
283,70
284,1487
285,70
286,1557
287,70
288,1619
289,70
290,1683
291,70
292,983
293,70
294,1045
295,70
296,1109
297,70
298,1179
299,70
300,1249
301,70
302,1305
303,70
304,1375
305,70
306,1445
307,70
308,1501
309,70
310,1571
311,70
312,1641
313,70
314,1697
315,70
316,975
317,70
318,1045
319,70
320,1101
321,70
322,1171
323,70
324,1241
325,70
326,1297
327,70
328,1367
329,70
330,1437
331,70
332,1500
333,70
334,1563
335,70
336,1633
337,70
338,1702
339,70
340,975
341,70
342,1045
343,70
344,1114
345,70
346,1171
347,70
348,1241
349,70
350,1310
351,70
352,1367
353,70
354,1437
355,70
356,1506
357,70
358,1563
359,70
360,1633
361,70
362,1703
363,70
364,969
365,70
366,1039
367,70
368,1109
369,70
370,1165
371,70
372,1235
373,70
374,1305
375,70
376,1361
377,70
378,1431
379,70
380,1500
381,70
382,1557
383,70
384,1627
385,70
386,1697
387,70
388,974
389,70
390,1044
391,70
392,1114
393,70
394,1170
395,70
396,1240
397,70
398,1310
399,70
400,1366
401,70
402,1436
403,70
404,1500
405,70
406,1562
407,70
408,1632
409,70
410,1688
411,70
