Time,org.hibernate.hql.ast.ErrorCounter Data
0,865
1,140
2,1086
3,1162
4,1274
5,1385
6,1462
7,140
8,1583
9,1690
10,1326
11,140
12,1446
13,1549
14,140
15,1636
16,1747
17,140
18,1865
19,1952
20,2053
21,140
22,2170
23,2254
24,2360
25,140
26,2479
27,1560
28,140
29,1678
30,1791
31,1876
32,1989
33,2107
34,2207
35,2286
36,140
37,2399
38,140
39,2490
40,140
41,2534
42,140
43,2649
44,1512
45,140
46,1623
47,140
48,1722
49,1831
50,1941
51,2048
52,2128
53,140
54,2238
55,140
56,2364
57,2444
58,2547
59,140
60,2661
61,140
62,1555
63,140
64,1664
65,140
66,1783
67,1866
68,140
69,1984
70,2093
71,2170
72,140
73,2291
74,2392
75,140
76,2480
77,2596
78,140
79,2717
80,1547
81,1654
82,140
83,1756
84,140
85,1844
86,140
87,1965
88,2072
89,140
90,2174
91,2273
92,2378
93,2462
94,2568
95,140
96,2658
97,140
98,1570
99,1673
100,140
101,1756
102,140
103,1876
104,1986
105,2075
106,1501
107,140
108,1597
109,140
110,1706
111,1819
112,1929
113,2017
114,2116
115,140
116,2228
117,140
118,2314
119,140
120,2432
121,2542
122,2630
123,1508
124,1622
125,1703
126,140
127,1821
128,1933
129,2014
130,140
131,2121
132,140
133,2239
134,2326
135,140
136,2428
137,140
138,2558
139,2667
140,1543
141,1653
142,1763
143,1840
144,140
145,1969
146,2069
147,2149
148,140
149,2266
150,140
151,2368
152,140
153,2466
154,2569
155,140
156,2684
157,140
158,1531
159,1639
160,1748
161,140
162,1839
163,1947
164,2056
165,140
166,2176
167,2254
168,2378
169,2461
170,2554
171,140
172,2683
173,1540
174,1638
175,1762
176,1866
177,1958
178,2059
179,2160
180,140
181,2257
182,2356
183,140
184,2485
185,2574
186,2675
187,1558
188,1651
189,140
190,1746
191,1846
192,140
193,1965
194,2063
195,2163
196,2281
197,2350
198,140
199,2473
200,2569
201,2666
202,1580
203,1655
204,140
205,1767
206,1888
207,1987
208,2075
209,2196
210,2295
211,2383
212,2504
213,2596
214,140
215,2683
216,1542
217,140
218,1663
219,1743
220,1863
221,1983
222,2048
223,140
224,2161
225,140
226,2287
227,2388
228,2488
229,2577
230,140
231,2694
232,1542
233,140
234,1656
235,140
236,1778
237,1861
238,1974
239,2090
240,2180
241,2269
242,140
243,2386
244,2467
245,140
246,2587
247,2699
248,1536
249,140
250,1654
251,140
252,1767
253,1852
254,1965
255,2076
256,2163
257,2274
258,2390
259,2471
260,2583
261,2702
262,1548
263,1661
264,1771
265,1856
266,1969
267,2079
268,2157
269,140
270,2270
271,2377
272,140
273,2465
274,140
275,2575
276,140
277,2684
