Time,java.util.WeakHashMap Data
0,825
1,1021
2,973
3,949
4,944
5,905
6,973
7,965
8,384
9,552
10,589
11,560
12,517
13,544
14,572
15,536
16,576
17,554
18,512
19,572
20,388
21,541
22,560
23,560
24,564
25,612
26,604
27,485
28,514
29,485
30,621
31,617
32,445
33,529
34,630
35,621
36,629
37,628
38,593
39,553
40,657
41,586
42,581
43,573
44,405
45,497
46,581
47,541
48,593
49,557
50,497
51,585
52,517
53,561
54,521
55,593
56,481
57,561
58,517
59,537
60,626
61,533
62,565
63,621
64,565
65,585
66,489
67,553
68,537
69,577
70,589
71,649
72,681
73,677
74,457
75,616
76,612
77,636
78,684
79,692
80,540
81,589
82,592
83,608
84,628
85,624
86,395
87,579
88,547
89,571
90,551
91,547
92,565
93,574
94,573
95,521
96,681
97,681
98,421
99,549
100,553
101,513
102,641
103,617
104,545
105,521
106,491
107,585
108,565
109,525
110,437
111,581
112,541
113,605
114,603
115,529
116,649
117,587
118,697
119,637
120,549
121,681
122,573
123,679
124,757
125,721
126,809
127,713
128,653
129,709
130,629
131,741
132,809
133,717
134,529
135,597
136,695
137,597
138,657
139,721
140,606
141,717
142,583
143,665
144,738
145,641
146,633
147,697
148,773
149,849
150,721
151,773
152,845
153,725
154,761
155,841
156,697
157,714
158,653
159,709
160,709
161,777
162,845
163,665
164,693
165,761
166,797
167,825
168,665
169,714
170,581
171,609
172,681
173,689
174,709
175,749
176,757
177,601
178,621
179,633
180,659
181,669
182,649
183,661
184,693
185,685
186,725
187,717
188,721
189,753
190,777
191,757
192,773
193,797
194,754
195,694
196,689
197,673
198,693
199,713
200,653
201,662
202,657
203,649
204,629
205,845
