Time,com.sun.org.apache.xerces.internal.util.FeatureState Data
0,6163
1,9735
2,10419
3,7911
4,8215
5,2439
6,12775
7,10343
8,615
9,10115
10,3047
11,8823
12,4263
13,9735
14,12167
15,5783
16,10951
17,10343
18,2439
19,6087
20,2439
21,9735
22,10343
23,12547
24,11863
25,16423
26,14903
27,2439
28,2135
29,6999
30,16955
31,5479
32,3807
33,14067
34,13383
35,11559
36,9507
37,5479
38,1375
39,18247
40,10039
41,4567
42,3959
43,7303
44,1071
45,15207
46,4263
47,17031
48,9127
49,615
50,13991
51,2743
52,8823
53,5783
54,16651
55,14599
56,8519
57,615
58,1831
59,14599
60,6695
61,11255
62,18095
63,6695
64,9431
65,2439
66,15207
67,3959
68,4111
69,8426
70,14903
71,17639
72,3655
73,6391
74,10951
75,14523
76,15511
77,20679
78,1831
79,2743
80,4719
81,10343
82,10343
83,11255
84,8215
85,11559
86,10039
87,10951
88,10951
89,9735
90,7607
91,6695
92,2211
93,1831
94,21287
95,19463
96,12775
97,10343
98,8139
99,1223
100,22503
101,17335
102,9431
103,6011
104,615
105,12167
106,6999
107,5023
108,13991
109,9735
110,5783
111,17639
112,10343
113,4871
114,17715
115,10115
116,23719
117,16727
118,4871
119,21895
120,20375
121,11559
122,22503
123,17335
124,25543
125,15207
126,3351
127,13155
128,4871
129,19159
130,27367
131,14599
132,23719
133,10647
134,21819
135,3959
136,15511
137,22199
138,9735
139,22503
140,5935
141,16423
142,27063
143,11255
144,24327
145,6163
146,15815
147,26151
148,9735
149,16423
150,26151
151,9735
152,14599
153,25543
154,4567
155,9431
156,615
157,7835
158,9811
159,20375
160,28583
161,1831
162,6999
163,18475
164,19159
165,22199
166,3047
167,7911
168,615
169,5175
170,16727
171,15207
172,18247
173,27367
174,27823
175,3047
176,6695
177,8215
178,11559
179,15511
180,2439
181,7075
182,8975
183,12471
184,13155
185,15815
186,12167
187,17031
188,19463
189,19463
190,19159
191,22503
192,11559
193,12015
194,13839
195,12167
196,10343
197,13383
198,9431
199,6391
200,5783
201,6087
202,3959
203,31015
