Time,org.hibernate.hql.ast.tree.FromElementType Data
0,747
1,944
2,1028
3,1133
4,1238
5,1322
6,70
7,1427
8,1531
9,1208
10,70
11,1313
12,1418
13,1502
14,1607
15,1712
16,1796
17,1901
18,2005
19,2090
20,2195
21,70
22,2300
23,1416
24,70
25,1521
26,1626
27,1710
28,1815
29,1920
30,2017
31,2109
32,70
33,2214
34,70
35,2305
36,70
37,2347
38,70
39,2445
40,1372
41,70
42,1477
43,70
44,1562
45,1666
46,1771
47,1875
48,1960
49,70
50,2065
51,70
52,2169
53,2254
54,2359
55,2463
56,70
57,1413
58,1518
59,70
60,1622
61,1707
62,1812
63,1917
64,2001
65,70
66,2106
67,2211
68,2295
69,2400
70,2505
71,1394
72,1499
73,1604
74,70
75,1688
76,70
77,1793
78,1898
79,1995
80,2087
81,2191
82,2276
83,2380
84,70
85,2465
86,70
87,1415
88,1519
89,1604
90,70
91,1709
92,1813
93,1898
94,1360
95,70
96,1451
97,1549
98,1654
99,1758
100,1843
101,1948
102,70
103,2053
104,2137
105,70
106,2242
107,2346
108,2431
109,1364
110,1468
111,1553
112,1658
113,1763
114,1848
115,1952
116,2057
117,2148
118,2246
119,70
120,2351
121,2455
122,1392
123,1497
124,1602
125,1686
126,70
127,1791
128,1895
129,1980
130,2085
131,2190
132,70
133,2274
134,2379
135,2484
136,1380
137,1485
138,1590
139,1674
140,1779
141,1884
142,1988
143,2073
144,2178
145,2269
146,2367
147,70
148,2472
149,1387
150,1485
151,1590
152,1694
153,1779
154,1884
155,1989
156,2073
157,2178
158,70
159,2283
160,2367
161,2472
162,1394
163,1497
164,1583
165,1688
166,1792
167,1877
168,1982
169,2086
170,2171
171,2276
172,2367
173,2465
174,1415
175,1506
176,1604
177,1709
178,1814
179,1898
180,2003
181,2108
182,2192
183,2297
184,2402
185,2486
186,1401
187,70
188,1506
189,1590
190,1695
191,1800
192,1884
193,70
194,1989
195,2094
196,2191
197,2283
198,2388
199,70
200,2492
201,1401
202,70
203,1506
204,1610
205,1695
206,1800
207,1904
208,1989
209,2094
210,70
211,2198
212,2283
213,2388
214,2493
215,1394
216,70
217,1499
218,1604
219,1688
220,1793
221,1898
222,1982
223,2087
224,2191
225,2276
226,2381
227,2486
228,1400
229,1505
230,1610
231,1694
232,1799
233,1904
234,1988
235,2093
236,2191
237,2282
238,2387
239,2471
