Time,org.hibernate.hql.ast.tree.SqlNode Data
0,2408
1,163
2,3207
3,163
4,3438
5,163
6,3789
7,163
8,4125
9,163
10,4353
11,163
12,4728
13,163
14,5060
15,163
16,4006
17,163
18,4380
19,163
20,4694
21,163
22,4950
23,163
24,5287
25,163
26,5654
27,163
28,5921
29,163
30,6219
31,163
32,6589
33,163
34,6838
35,163
36,7155
37,163
38,7517
39,163
40,4513
41,163
42,4871
43,163
44,5223
45,163
46,5474
47,163
48,5826
49,163
50,6184
51,163
52,6492
53,163
54,6724
55,163
56,7064
57,163
58,7350
59,163
60,7484
61,163
62,7836
63,163
64,4373
65,163
66,4710
67,163
68,5007
69,163
70,5351
71,163
72,5686
73,163
74,6018
75,163
76,6249
77,163
78,6584
79,163
80,6979
81,163
82,7210
83,163
84,7524
85,163
86,7877
87,163
88,4507
89,163
90,4840
91,163
92,5214
93,163
94,5454
95,163
96,5820
97,163
98,6153
99,163
100,6381
101,163
102,6756
103,163
104,7057
105,163
106,7325
107,163
108,7677
109,163
110,8052
111,163
112,4483
113,163
114,4801
115,163
116,5113
117,163
118,5381
119,163
120,5756
121,163
122,6074
123,163
124,6385
125,163
126,6694
127,163
128,7013
129,163
130,7263
131,163
132,7591
133,163
134,7860
135,163
136,4552
137,163
138,4865
139,163
140,5113
141,163
142,5487
143,163
144,5826
145,163
146,6091
147,163
148,4335
149,163
150,4641
151,163
152,4959
153,163
154,5311
155,163
156,5661
157,163
158,5914
159,163
160,6209
161,163
162,6550
163,163
164,6812
165,163
166,7170
167,163
168,7519
169,163
170,7773
171,163
172,4366
173,163
174,4719
175,163
176,4952
177,163
178,5312
179,163
180,5660
181,163
182,5894
183,163
184,6225
185,163
186,6585
187,163
188,6865
189,163
190,7161
191,163
192,7563
193,163
194,7908
195,163
196,4478
197,163
198,4813
199,163
200,5148
201,163
202,5376
203,163
204,5774
205,163
206,6085
207,163
208,6316
209,163
210,6672
211,163
212,6984
213,163
214,7291
215,163
216,7605
217,163
218,7945
219,163
220,4437
221,163
222,4759
223,163
224,5090
225,163
226,5375
227,163
228,5697
229,163
230,6028
231,163
232,6416
233,163
234,6631
235,163
236,7023
237,163
238,7274
239,163
240,7546
241,163
242,7944
243,163
244,4477
245,163
246,4755
247,163
248,5147
249,163
250,5462
251,163
252,5737
253,163
254,6045
255,163
256,6346
257,163
258,6648
259,163
260,6943
261,163
262,7341
263,163
264,7613
265,163
266,7921
267,163
268,4523
269,163
270,4809
271,163
272,5088
273,163
274,5387
275,163
276,5771
277,163
278,6061
279,163
280,6359
281,163
282,6731
283,163
284,6922
285,163
286,7299
287,163
288,7607
289,163
290,7883
291,163
292,4590
293,163
294,4818
295,163
296,5153
297,163
298,5528
299,163
300,5823
301,163
302,6091
303,163
304,6466
305,163
306,6761
307,163
308,7029
309,163
310,7404
311,163
312,7678
313,163
314,7945
315,163
316,4464
317,163
318,4839
319,163
320,5085
321,163
322,5448
323,163
324,5819
325,163
326,6005
327,163
328,6358
329,163
330,6738
331,163
332,7047
333,163
334,7358
335,163
336,7615
337,163
338,7985
339,163
340,4464
341,163
342,4818
343,163
344,5194
345,163
346,5442
347,163
348,5795
349,163
350,6151
351,163
352,6420
353,163
354,6677
355,163
356,7047
357,163
358,7280
359,163
360,7653
361,163
362,7994
363,163
364,4443
365,163
366,4801
367,163
368,5153
369,163
370,5404
371,163
372,5756
373,163
374,6093
375,163
376,6359
377,163
378,6696
379,163
380,7065
381,163
382,7297
383,163
384,7638
385,163
386,8007
387,163
388,4485
389,163
390,4837
391,163
392,5172
393,163
394,5423
395,163
396,5775
397,163
398,6110
399,163
400,6340
401,163
402,6692
403,163
404,7007
405,163
406,7278
407,163
408,7613
409,163
410,7959
411,163
