Time,java.util.ArrayList$ListItr Data
0,208
1,188
2,194
3,231
4,212
5,205
6,162
7,210
8,215
9,216
10,204
11,178
12,212
13,218
14,269
15,238
16,256
17,233
18,229
19,215
20,186
21,261
22,250
23,262
24,205
25,236
26,159
27,197
28,259
29,231
30,235
31,257
32,181
33,200
34,237
35,188
36,249
37,251
38,189
39,233
40,382
41,273
42,159
43,207
44,193
45,206
46,207
47,211
48,148
49,415
50,409
51,224
52,212
53,196
54,298
55,264
56,213
57,185
58,232
59,260
60,205
61,379
62,434
63,259
64,289
65,416
66,430
67,249
68,443
69,242
70,162
71,222
72,276
73,459
74,237
75,433
76,286
77,166
78,369
79,431
80,205
81,422
82,263
83,470
84,442
85,184
86,243
87,460
88,208
89,244
90,458
91,206
92,232
93,448
94,173
95,200
96,191
97,204
98,290
99,479
100,186
101,265
102,271
103,432
104,186
105,170
106,242
107,242
108,396
109,468
110,460
111,184
112,219
113,259
114,200
115,226
116,252
117,212
118,262
119,401
120,267
121,411
122,432
123,218
124,229
125,208
126,228
127,185
128,491
