Time,[Lorg.apache.hadoop.util.DataChecksum$Type; Data
0,114
1,162
2,140
3,172
4,170
5,188
6,136
7,144
8,162
9,144
10,194
11,160
12,140
13,198
14,184
15,224
16,212
17,204
18,202
19,140
20,164
21,202
22,240
23,182
24,206
25,220
26,236
27,256
28,142
29,136
30,198
31,266
32,148
33,236
34,214
35,190
36,242
37,240
38,156
39,270
40,252
41,154
42,260
43,156
44,260
45,140
46,252
47,228
48,286
49,162
50,178
51,242
52,174
53,154
54,212
55,298
56,280
57,194
58,134
59,172
60,188
61,206
62,176
63,218
64,242
65,140
66,136
67,298
