Time,java.util.LinkedList Data
0,13636
1,23891
2,23524
3,21278
4,19277
5,8787
6,29448
7,23259
8,5711
9,24983
10,14077
11,22850
12,15030
13,25528
14,29178
15,18166
16,25241
17,26449
18,12687
19,20854
20,9296
21,24323
22,26677
23,28664
24,28979
25,39401
26,34709
27,7089
28,13901
29,11016
30,17975
31,38360
32,17016
33,15243
34,32375
35,31820
36,29279
37,23520
38,15716
39,9598
40,41061
41,26489
42,18615
43,14811
44,20447
45,8373
46,35116
47,16659
48,40994
49,23745
50,8800
51,34067
52,16526
53,25936
54,20687
55,42190
56,34008
57,24526
58,8509
59,10615
60,34984
61,21845
62,28829
63,40838
64,20745
65,27310
66,9198
67,12958
68,38177
69,14678
70,14352
71,25764
72,37097
73,40204
74,16156
75,19358
76,29180
77,35333
78,38482
79,47244
80,11892
81,17330
82,16423
83,29344
84,27682
85,30442
86,25006
87,28205
88,27514
89,30169
90,30615
91,27038
92,24655
93,24443
94,14656
95,12930
96,52018
97,46909
98,32996
99,29623
100,26142
101,11369
102,52794
103,42150
104,27928
105,22558
106,11537
107,33700
108,25571
109,22067
110,35311
111,28919
112,21916
113,41574
114,30434
115,20988
116,44166
117,29409
118,56570
119,41911
120,18722
121,53725
122,47075
123,31324
124,54054
125,42183
126,58860
127,38751
128,20255
129,35787
130,21561
131,48935
132,62726
133,39067
134,55912
135,27497
136,51543
137,21120
138,40878
139,54404
140,31191
141,52849
142,21049
143,44827
144,62636
145,32998
146,57395
147,21858
148,40249
149,60931
150,31411
151,41732
152,61468
153,31887
154,39420
155,61047
156,24234
157,31529
158,12462
159,28375
160,30853
161,51652
162,68025
163,15193
164,27311
165,49033
166,47489
167,56224
168,20888
169,27658
170,12974
171,24281
172,43125
173,40488
174,49366
175,64224
176,64992
177,20832
178,25725
179,30001
180,36321
181,43767
182,16219
183,26836
184,31229
185,35373
186,37960
187,45026
188,36854
189,47317
190,50279
191,48656
192,52364
193,58427
194,34760
195,36231
196,39329
197,36183
198,34200
199,39056
200,32074
201,28355
202,23907
203,26761
204,24190
205,71877
