Time,com.sun.org.apache.xerces.internal.util.PropertyState Data
0,3817
1,6035
2,6453
3,4905
4,5091
5,1511
6,7915
7,6411
8,381
9,6267
10,1889
11,5465
12,2639
13,6035
14,7539
15,3583
16,6787
17,6403
18,1509
19,3777
20,1509
21,6033
22,6411
23,7767
24,7349
25,10171
26,9237
27,1509
28,1325
29,4329
30,10501
31,3391
32,2359
33,8713
34,8291
35,7161
36,5893
37,3391
38,849
39,11309
40,6217
41,2829
42,2455
43,4519
44,661
45,9419
46,2639
47,10547
48,5659
49,381
50,8665
51,1703
52,5465
53,3583
54,10317
55,9043
56,5279
57,381
58,1135
59,9045
60,4151
61,6969
62,11207
63,4153
64,5841
65,1511
66,9419
67,2457
68,2545
69,5217
70,9237
71,10925
72,2261
73,3961
74,6785
75,8997
76,9613
77,12805
78,1133
79,1703
80,2917
81,6411
82,6411
83,6969
84,5089
85,7163
86,6215
87,6787
88,6785
89,6023
90,4713
91,4153
92,1372
93,1133
94,13191
95,12063
96,7915
97,6409
98,5043
99,757
100,13941
101,10741
102,5839
103,3725
104,381
105,7539
106,4337
107,3113
108,8667
109,6035
110,3583
111,10923
112,6411
113,3017
114,10981
115,6263
116,14695
117,10365
118,3015
119,13565
120,12621
121,7163
122,13943
123,10741
124,15825
125,9419
126,2079
127,8147
128,3015
129,11869
130,16953
131,9045
132,14695
133,6593
134,13511
135,2455
136,9613
137,13751
138,6033
139,13945
140,3673
141,10171
142,16759
143,6969
144,15071
145,3817
146,9797
147,16201
148,6035
149,10173
150,16201
151,6033
152,9043
153,15825
154,2831
155,5841
156,383
157,4859
158,6075
159,12623
160,17705
161,1133
162,4337
163,11447
164,11871
165,13751
166,1885
167,4907
168,383
169,3207
170,10365
171,9421
172,11303
173,16953
174,17235
175,1885
176,4153
177,5087
178,7163
179,9611
180,1511
181,4385
182,5563
183,7721
184,8149
185,9795
186,7539
187,10547
188,12063
189,12053
190,11869
191,13945
192,7161
193,7445
194,8573
195,7537
196,6411
197,8291
198,5841
199,3959
200,3585
201,3767
202,2455
203,19211
