Time,com.sun.xml.bind.v2.util.QNameMap$Entry Data
0,16209
1,2135
2,516
3,204
4,34808
5,2135
6,516
7,204
8,34808
9,2135
10,516
11,204
12,34808
13,2135
14,516
15,204
16,34808
17,2135
18,516
19,204
20,34808
21,2135
22,516
23,204
24,102
25,34808
26,2135
27,516
28,204
29,34808
30,2135
31,516
32,204
33,33985
34,2135
35,516
36,204
37,102
38,33985
39,2135
40,516
41,204
42,33985
43,2135
44,516
45,204
46,33985
47,2135
48,516
49,204
50,33985
51,2135
52,516
53,204
54,33985
55,2135
56,516
57,204
58,33985
59,2135
60,516
61,204
62,33985
63,2135
64,516
65,204
66,33985
67,2135
68,516
69,204
70,33985
71,2135
72,516
73,204
74,33985
75,2135
76,516
77,204
78,102
79,33985
80,2135
81,516
82,204
83,33985
84,2135
85,516
86,204
87,102
88,33985
89,2135
90,516
91,204
92,33985
93,2135
94,516
95,204
96,33985
97,2135
98,516
99,204
100,33985
101,2135
102,516
103,204
104,33985
105,2135
106,516
107,204
108,33985
109,2135
110,516
111,204
112,33985
113,2135
114,516
115,204
116,102
117,33985
118,2135
119,516
120,204
121,102
122,33985
123,2135
124,516
125,204
126,102
127,33985
128,2135
129,516
130,204
131,33985
132,2135
133,516
134,204
135,33985
136,2135
137,516
138,204
139,102
140,33985
141,2135
142,516
143,204
144,102
145,33985
146,2135
147,516
148,204
149,33985
150,2135
151,516
152,204
153,33985
154,2135
155,516
156,204
157,33985
158,2135
159,516
160,204
161,33985
162,2135
163,516
164,204
165,33985
166,2135
167,516
168,204
169,102
170,33985
171,2135
172,516
173,204
174,33985
175,2135
176,516
177,204
178,33985
179,2135
180,516
181,204
182,33985
183,2135
184,516
185,204
186,102
187,33985
188,2135
189,516
190,204
191,33985
192,2135
193,516
194,204
195,102
196,33985
197,2135
198,516
199,204
200,33985
201,2135
202,516
203,204
204,33985
205,2135
206,516
207,204
208,33985
209,2135
210,516
211,204
212,33985
213,2135
214,516
215,204
216,102
217,33985
218,2135
219,516
220,204
221,33985
222,2135
223,516
224,204
225,33985
226,2135
227,516
228,204
229,33985
230,2135
231,516
232,204
233,33985
234,2135
235,516
236,204
237,33985
238,2135
239,516
240,204
241,33985
242,2135
243,516
244,204
245,33985
246,2135
247,516
248,204
249,102
250,33985
251,2135
252,516
253,204
254,102
255,33985
256,2135
257,516
258,204
259,33985
260,2135
261,516
262,204
263,33985
264,2135
265,516
266,204
267,33985
268,2135
269,516
270,204
271,33985
272,2135
273,516
274,204
275,33985
276,2135
277,516
278,204
279,33985
280,2135
281,516
282,204
283,102
284,33985
285,2135
286,516
287,204
288,102
289,33985
290,2135
291,516
292,204
293,33985
294,2135
295,516
296,204
297,33985
298,2135
299,516
300,204
301,102
302,33985
303,2135
304,516
305,204
306,33985
307,2135
308,516
309,204
310,33985
311,2135
312,516
313,204
314,33985
315,2135
316,516
317,204
318,102
319,33985
320,2135
321,516
322,204
323,33985
324,2135
325,516
326,204
327,33985
328,2135
329,516
330,204
331,33985
332,2135
333,516
334,204
335,33985
336,2135
337,516
338,204
339,33985
340,2135
341,516
342,204
343,102
344,33985
345,2135
346,516
347,204
348,33985
349,2135
