Time,java.io.File Data
0,2111
1,3117
2,2650
3,2531
4,2582
5,1401
6,3570
7,2947
8,940
9,2749
10,1604
11,2558
12,1747
13,3020
14,3329
15,2060
16,3016
17,2950
18,1368
19,1989
20,1380
21,2993
22,3082
23,3189
24,3192
25,4331
26,3810
27,899
28,1589
29,1114
30,1972
31,4223
32,1811
33,1600
34,3466
35,3398
36,3199
37,2677
38,1929
39,1257
40,4363
41,2818
42,1814
43,1558
44,2165
45,1091
46,3883
47,1782
48,4309
49,2835
50,940
51,3550
52,1453
53,2578
54,2037
55,4329
56,3619
57,2539
58,940
59,1339
60,3760
61,1972
62,3047
63,4329
64,2177
65,2774
66,886
67,1250
68,3809
69,1504
70,1544
71,2454
72,3888
73,4187
74,1691
75,2221
76,2918
77,3600
78,4100
79,4746
80,1311
81,1451
82,1718
83,2630
84,2954
85,2928
86,2512
87,3052
88,2748
89,2863
90,3123
91,2702
92,2283
93,2151
94,1343
95,1198
96,5046
97,4848
98,3433
99,3061
100,2572
101,1129
102,5084
103,4142
104,2688
105,2273
106,1069
107,3291
108,2299
109,1769
110,3677
111,2585
112,1997
113,4437
114,2787
115,1866
116,4457
117,2692
118,5424
119,4070
120,1752
121,5050
122,4866
123,2974
124,5406
125,4213
126,5844
127,3801
128,1642
129,3574
130,1749
131,4637
132,6044
133,3760
134,5664
135,3033
136,5043
137,1704
138,3868
139,5493
140,2879
141,5410
142,1978
143,4240
144,6135
145,2942
146,5860
147,2059
148,4018
149,6187
150,3020
151,4080
152,6067
153,2879
154,3602
155,5974
156,1896
157,2781
158,1081
159,2420
160,2918
161,4855
162,6748
163,1318
164,2282
165,4528
166,4801
167,5508
168,1510
169,2633
170,1081
171,1944
172,4151
173,3942
174,4630
175,6361
176,6464
177,1630
178,2285
179,2481
180,3326
181,3982
182,1281
183,2253
184,2781
185,3066
186,3461
187,3942
188,3230
189,4429
190,4811
191,4735
192,4747
193,5568
194,2977
195,3211
196,3659
197,3184
198,2917
199,3480
200,2589
201,2202
202,2064
203,2072
204,1651
205,7075
