Time,org.codehaus.jackson.map.BeanProperty$Std Data
0,204
1,196
2,242
3,236
4,178
5,254
6,230
7,240
8,200
9,272
10,212
11,290
12,254
13,242
14,250
15,260
16,278
17,278
18,260
19,290
20,206
21,218
22,240
23,272
24,278
25,224
26,242
27,314
