Time,org.apache.hadoop.security.proto.SecurityProtos$TokenProto Data
0,155
1,92
2,126
3,127
4,172
5,158
6,135
7,103
8,139
9,157
10,164
11,78
12,163
13,156
14,113
15,101
16,160
17,123
18,163
19,188
20,176
21,46
22,191
23,59
24,177
25,171
26,150
27,151
28,227
29,115
30,221
31,232
32,154
33,158
34,99
35,151
36,185
37,177
38,81
39,199
40,117
41,213
42,118
43,156
44,43
45,180
46,126
47,251
48,212
49,56
50,131
51,126
52,177
53,266
54,229
55,96
56,116
57,160
58,115
59,146
60,162
61,109
62,157
63,141
64,107
65,116
66,100
67,294
68,281
69,168
70,138
71,127
72,250
73,271
74,106
75,163
76,140
77,174
78,149
79,71
80,200
81,152
82,274
83,111
84,309
85,236
86,253
87,290
88,122
89,301
90,188
91,333
92,180
93,104
94,171
95,246
96,344
97,199
98,306
99,273
100,107
101,262
102,321
103,135
104,322
105,188
106,347
107,117
108,311
109,121
110,207
111,342
112,157
113,210
114,342
115,135
116,177
117,336
118,110
119,156
120,124
121,158
122,294
123,356
124,140
125,199
126,222
127,321
128,59
129,123
130,109
131,224
132,202
133,279
134,385
135,349
136,59
137,116
138,129
139,166
140,250
141,77
142,130
143,123
144,171
145,221
146,159
147,232
148,281
149,221
150,286
151,322
152,114
153,163
154,176
155,117
156,152
157,171
158,116
159,119
160,69
161,390
