Time,com.sun.org.apache.xerces.internal.jaxp.DocumentBuilderFactoryImpl Data
0,124
1,199
2,210
3,162
4,167
5,259
6,211
7,205
8,178
9,199
10,247
11,117
12,223
13,207
14,126
15,198
16,211
17,251
18,240
19,331
20,304
21,138
22,342
23,109
24,284
25,271
26,234
27,194
28,109
29,372
30,202
31,92
32,81
33,145
34,307
35,343
36,187
37,282
38,178
39,117
40,338
41,295
42,173
43,296
44,137
45,226
46,365
47,138
48,190
49,307
50,82
51,171
52,304
53,356
54,130
55,222
56,294
57,316
58,416
59,92
60,211
61,211
62,226
63,166
64,235
65,201
66,223
67,222
68,193
69,154
70,138
71,433
72,397
73,259
74,210
75,165
76,456
77,352
78,189
79,122
80,247
81,142
82,102
83,283
84,199
85,117
86,355
87,211
88,98
89,362
90,203
91,481
92,340
93,97
94,444
95,412
96,235
97,457
98,352
99,518
100,307
101,265
102,97
103,388
104,554
105,296
106,481
107,214
108,439
109,316
110,449
111,198
112,458
113,118
114,331
115,545
116,226
117,493
118,124
119,320
120,530
121,199
122,332
123,530
124,198
125,295
126,518
127,190
128,161
129,197
130,413
131,578
132,142
133,375
134,389
135,449
136,163
137,105
138,340
139,308
140,369
141,554
142,563
143,138
144,165
145,235
146,315
147,144
148,183
149,250
150,266
151,319
152,247
153,343
154,397
155,392
156,388
157,458
158,234
159,244
160,280
161,246
162,211
163,271
164,190
165,129
166,118
167,121
168,627
