Time,org.apache.log4j.spi.LoggingEvent Data
0,174
1,705
2,432
3,636
4,577
5,83
6,792
7,624
8,34
9,723
10,515
11,558
12,245
13,704
14,725
15,247
16,659
17,700
18,135
19,511
20,82
21,334
22,710
23,451
24,742
25,968
26,808
27,215
28,218
29,908
30,211
31,199
32,740
33,785
34,750
35,546
36,187
37,126
38,859
39,341
40,332
41,98
42,319
43,804
44,223
45,991
46,83
47,614
48,792
49,433
50,603
51,281
52,979
53,825
54,481
55,50
56,826
57,199
58,410
59,895
60,409
61,599
62,46
63,946
64,55
65,87
66,647
67,1015
68,85
69,860
70,205
71,503
72,525
73,797
74,1164
75,87
76,1044
77,97
78,342
79,122
80,433
81,625
82,383
83,621
84,625
85,449
86,637
87,744
88,386
89,386
90,494
91,359
92,50
93,1347
94,104
95,1250
96,751
97,714
98,580
99,42
100,1254
101,99
102,1055
103,92
104,430
105,270
106,87
107,688
108,540
109,215
110,791
111,554
112,218
113,915
114,603
115,249
116,1191
117,343
118,1527
119,111
120,908
121,108
122,1226
123,1295
124,101
125,376
126,1471
127,107
128,899
129,1437
130,114
131,813
132,434
133,755
134,185
135,1037
136,1511
137,120
138,826
139,1495
140,110
141,357
142,1107
143,93
144,468
145,1095
146,84
147,1466
148,103
149,703
150,1367
151,106
152,216
153,1005
154,1611
155,119
156,383
157,1529
158,112
159,475
160,867
161,1576
162,118
163,703
164,874
165,1576
166,118
167,680
168,797
169,1505
170,113
171,546
172,628
173,624
174,692
175,1236
176,99
177,1734
178,124
179,50
180,548
181,1001
182,956
183,1469
184,103
185,198
186,546
187,34
188,573
189,837
190,833
191,1354
192,93
193,1573
194,131
195,1584
196,119
197,198
198,486
199,483
200,751
201,1091
202,87
203,83
204,259
205,614
206,451
207,783
208,913
209,715
210,989
211,83
212,1228
213,98
214,998
215,1300
216,99
217,1454
218,106
219,559
220,742
221,870
222,546
223,674
224,782
225,448
226,614
227,171
228,280
229,251
230,1728
231,130
