Time,org.codehaus.jackson.map.introspect.POJOPropertyBuilder$Node Data
0,341
1,470
2,461
3,446
4,398
5,96
6,590
7,494
8,518
9,129
10,321
11,120
12,470
13,566
14,168
15,518
16,345
17,96
18,374
19,96
20,389
21,494
22,533
23,494
24,850
25,787
26,264
27,686
28,168
29,614
30,566
31,542
32,422
33,168
34,811
35,437
36,120
37,269
38,240
39,614
40,120
41,686
42,446
43,590
44,129
45,321
46,341
47,802
48,614
49,389
50,614
51,317
52,485
53,686
54,398
55,345
56,638
57,221
58,96
59,446
60,647
61,686
62,120
63,225
64,437
65,590
66,671
67,806
68,129
69,120
70,413
71,494
72,485
73,249
74,494
75,288
76,518
77,518
78,288
79,192
80,398
81,72
82,1012
83,892
84,542
85,494
86,398
87,979
88,662
89,264
90,308
91,566
92,249
93,269
94,590
95,470
96,293
97,734
98,494
99,293
100,868
101,437
102,1060
103,638
104,144
105,955
106,815
107,461
108,1003
109,835
110,1132
111,638
112,153
113,542
114,144
115,883
116,1204
117,614
118,1060
119,437
120,806
121,177
122,671
123,839
124,470
125,1012
126,168
127,686
128,1031
129,485
130,1084
131,201
132,662
133,1156
134,470
135,686
136,1156
137,470
138,590
139,1084
140,153
141,345
142,374
143,345
144,815
145,1204
146,72
147,249
148,859
149,907
150,1003
151,96
152,422
153,177
154,787
155,638
156,743
157,1132
158,1156
159,96
160,350
161,297
162,542
163,671
164,96
165,341
166,422
167,533
168,542
169,614
170,518
171,686
172,940
173,758
174,815
175,1012
176,461
177,494
178,566
179,509
180,446
181,542
182,264
183,225
184,341
185,192
186,1300
