Time,com.sun.org.apache.xerces.internal.impl.XMLNSDocumentScannerImpl$NSContentDriver Data
0,134
1,208
2,219
3,171
4,177
5,268
6,220
7,214
8,187
9,208
10,256
11,126
12,232
13,217
14,207
15,220
16,260
17,249
18,340
19,313
20,147
21,352
22,118
23,293
24,280
25,243
26,204
27,118
28,381
29,211
30,154
31,316
32,352
33,196
34,291
35,187
36,126
37,347
38,304
39,182
40,305
41,146
42,235
43,375
44,199
45,316
46,92
47,181
48,313
49,365
50,139
51,231
52,303
53,325
54,425
55,102
56,220
57,220
58,235
59,175
60,244
61,210
62,232
63,231
64,202
65,163
66,147
67,442
68,406
69,268
70,219
71,174
72,465
73,361
74,198
75,256
76,151
77,292
78,208
79,126
80,364
81,220
82,371
83,212
84,490
85,349
86,106
87,453
88,421
89,244
90,466
91,361
92,527
93,316
94,274
95,106
96,397
97,563
98,305
99,490
100,223
101,448
102,325
103,458
104,207
105,467
106,127
107,340
108,554
109,235
110,502
111,133
112,329
113,539
114,208
115,341
116,539
117,207
118,304
119,527
120,199
121,170
122,206
123,422
124,587
125,151
126,385
127,398
128,458
129,172
130,349
131,317
132,378
133,563
134,573
135,174
136,244
137,324
138,153
139,192
140,259
141,276
142,328
143,256
144,352
145,406
146,401
147,397
148,467
149,243
150,254
151,289
152,255
153,220
154,280
155,199
156,127
157,130
158,636
