Time,[Lcom.sun.org.apache.xerces.internal.utils.XMLSecurityManager$State; Data
0,261
1,410
2,432
3,336
4,347
5,110
6,530
7,434
8,422
9,137
10,368
11,182
12,410
13,506
14,246
15,458
16,427
17,108
18,264
19,108
20,408
21,434
22,514
23,492
24,674
25,620
26,108
27,100
28,288
29,697
30,230
31,166
32,580
33,554
34,480
35,401
36,230
37,64
38,756
39,416
40,196
41,174
42,302
43,52
44,626
45,182
46,698
47,386
48,576
49,126
50,368
51,246
52,688
53,602
54,358
55,86
56,604
57,286
58,464
59,743
60,288
61,392
62,110
63,626
64,177
65,177
66,355
67,620
68,724
69,156
70,272
71,456
72,600
73,644
74,844
75,84
76,126
77,198
78,434
79,434
80,464
81,344
82,482
83,414
84,458
85,456
86,398
87,320
88,288
89,104
90,84
91,878
92,806
93,530
94,432
95,342
96,60
97,924
98,716
99,390
100,256
101,506
102,296
103,217
104,578
105,410
106,246
107,722
108,434
109,209
110,736
111,418
112,974
113,692
114,206
115,900
116,836
117,482
118,926
119,716
120,1048
121,626
122,150
123,542
124,206
125,788
126,1120
127,604
128,974
129,440
130,890
131,174
132,644
133,910
134,408
135,928
136,248
137,674
138,1102
139,464
140,998
141,260
142,652
143,1072
144,410
145,676
146,1072
147,408
148,602
149,1048
150,198
151,392
152,334
153,406
154,838
155,1168
156,84
157,296
158,763
159,790
160,910
161,132
162,338
163,222
164,692
165,628
166,750
167,1120
168,1139
169,132
170,288
171,342
172,482
173,642
174,110
175,300
176,378
177,512
178,545
179,650
180,506
181,698
182,806
183,796
184,788
185,928
186,480
187,501
188,572
189,504
190,434
191,554
192,392
193,270
194,248
195,254
196,174
197,1266
