Time,java.util.StringTokenizer Data
0,278
1,1179
2,418
3,1111
4,1095
5,87
6,1254
7,1169
8,1173
9,868
10,282
11,205
12,1160
13,1217
14,176
15,1188
16,1048
17,80
18,1046
19,74
20,355
21,1180
22,457
23,1198
24,1482
25,1394
26,181
27,226
28,1339
29,150
30,101
31,1260
32,1239
33,1214
34,1105
35,149
36,54
37,1448
38,400
39,128
40,155
41,215
42,1288
43,210
44,1351
45,1137
46,1253
47,854
48,1016
49,279
50,1462
51,1271
52,340
53,70
54,1284
55,269
56,416
57,1350
58,1053
59,1034
60,61
61,1299
62,181
63,98
64,1113
65,1301
66,1339
67,116
68,952
69,402
70,1262
71,2067
72,1439
73,57
74,836
75,117
76,389
77,1167
78,418
79,1006
80,1168
81,273
82,1170
83,1182
84,311
85,216
86,332
87,831
88,55
89,2334
90,2258
91,1215
92,1163
93,1093
94,1591
95,1368
96,253
97,318
98,1211
99,964
100,244
101,1251
102,404
103,255
104,1375
105,1151
106,261
107,2213
108,380
109,2408
110,1330
111,124
112,1571
113,2195
114,417
115,2371
116,1444
117,2440
118,1287
119,871
120,1224
121,131
122,1507
123,2496
124,1284
125,2396
126,380
127,1456
128,890
129,2035
130,2348
131,1146
132,2358
133,160
134,1426
135,2431
136,417
137,2415
138,934
139,1320
140,2487
141,1158
142,1339
143,2483
144,1144
145,1262
146,2439
147,971
148,1038
149,1081
150,1048
151,1460
152,2546
153,55
154,964
155,1485
156,1513
157,2356
158,98
159,1097
160,916
161,1408
162,1301
163,2138
164,2482
165,2495
166,98
167,1039
168,237
169,1214
170,1330
171,86
172,292
173,1112
174,456
175,1226
176,1297
177,1197
178,1350
179,2278
180,1402
181,2179
182,2373
183,419
184,1188
185,1252
186,429
187,1140
188,1231
189,273
190,986
191,279
192,186
193,128
194,2610
