Time,com.sun.xml.bind.v2.runtime.JAXBContextImpl$6 Data
0,4610
1,9681
2,9681
3,9681
4,9681
5,9681
6,9681
7,9681
8,9681
9,9681
10,9681
11,9681
12,9681
13,9681
14,9681
15,9681
16,9681
17,9681
18,9681
19,9681
20,9681
21,9681
22,9681
23,9681
24,9681
25,9681
26,9681
27,9681
28,9681
29,9681
30,9681
31,9681
32,9681
33,9681
34,9681
35,9681
36,9681
37,9681
38,9681
39,9681
40,9681
41,9681
42,9681
43,9681
44,9681
45,9681
46,9681
47,9681
48,9681
49,9681
50,9681
51,9681
52,9681
53,9681
54,9681
55,9681
56,9681
57,9681
58,9681
59,9681
60,9681
61,9681
62,9681
63,9681
64,9681
65,9681
66,9681
67,9681
68,9681
69,9681
70,9681
71,9681
72,9681
73,9681
74,9681
75,9681
76,9681
77,9681
78,9681
79,9681
80,9681
81,9681
82,9681
83,9681
84,9681
85,9681
86,9681
87,9681
88,9681
89,9681
90,9681
91,9681
92,9681
93,9681
94,9681
95,9681
96,9681
97,9681
98,9681
99,9681
100,9681
101,9681
102,9681
103,9681
104,9681
105,9681
106,9681
107,9681
108,9681
109,9681
110,9681
111,9681
112,9681
113,9681
114,9681
115,9681
116,9681
117,9681
118,9681
119,9681
120,9681
121,9681
122,9681
123,9681
124,9681
125,9681
126,9681
127,9681
128,9681
129,9681
130,9681
131,9681
132,9681
133,9681
134,9681
135,9681
136,9681
137,9681
138,9681
139,9681
140,9681
141,9681
142,9681
143,9681
144,9681
145,9681
146,9681
147,9681
148,9681
149,9681
150,9681
151,9681
152,9681
153,9681
154,9681
155,9681
156,9681
157,9681
158,9681
159,9681
160,9681
161,9681
162,9681
163,9681
164,9681
165,9681
166,9681
167,9681
168,9681
169,9681
170,9681
171,9681
172,9681
173,9681
174,9681
175,9681
176,9681
177,9681
178,9681
179,9681
180,9681
181,9681
182,9681
183,9681
184,9681
185,9681
186,9681
187,9681
188,9681
189,9681
190,9681
191,9681
192,9681
193,9681
194,9681
195,9681
196,9681
197,9681
198,9681
199,9681
200,9681
201,9681
202,9681
203,9681
204,9681
205,9681
