Time,[Lorg.hibernate.engine.EntityKey; Data
0,486
1,429
2,441
3,507
4,454
5,488
6,399
7,340
8,490
9,449
10,458
11,444
12,387
13,488
14,498
15,592
16,522
17,533
18,438
19,506
20,499
21,435
22,569
23,228
24,509
25,573
26,451
27,507
28,327
29,362
30,616
31,514
32,318
33,514
34,532
35,343
36,361
37,558
38,473
39,750
40,522
41,380
42,329
43,508
44,816
45,584
46,283
47,451
48,425
49,451
50,412
51,495
52,374
53,334
54,903
55,926
56,499
57,492
58,441
59,816
60,716
61,430
62,350
63,507
64,395
65,534
66,405
67,907
68,1004
69,560
70,813
71,888
72,992
73,575
74,923
75,510
76,323
77,500
78,622
79,938
80,514
81,994
82,596
83,333
84,792
85,989
86,490
87,948
88,577
89,974
90,1004
91,375
92,525
93,1013
94,487
95,523
96,1013
97,481
98,508
99,996
100,413
101,371
102,472
103,440
104,787
105,1068
106,353
107,618
108,588
109,995
110,435
111,413
112,562
113,515
114,922
115,1015
116,1017
117,422
118,285
119,499
120,772
121,448
122,506
123,543
124,489
125,570
126,876
127,573
128,848
129,989
130,336
131,498
132,548
133,327
134,481
135,506
136,240
137,424
138,1046
