Time,org.apache.hadoop.fs.permission.UmaskParser Data
0,138
1,133
2,135
3,131
4,134
5,142
6,156
7,145
8,147
9,139
10,176
11,162
12,167
13,131
14,137
15,120
16,149
17,167
18,181
19,124
20,150
21,196
22,183
23,115
24,149
25,225
26,190
27,134
28,130
29,144
30,242
31,249
32,146
33,185
34,228
35,114
36,148
37,164
38,238
39,260
40,199
41,191
42,247
43,255
44,158
45,275
46,150
47,147
48,185
49,281
50,167
51,260
52,209
53,221
54,281
55,277
56,292
57,264
58,172
59,285
60,133
61,173
62,285
63,149
64,289
65,124
66,131
67,231
68,301
69,114
70,171
71,183
72,281
73,170
74,168
75,240
76,307
77,299
78,136
79,195
80,147
81,168
82,137
83,167
84,234
85,186
86,233
87,277
88,142
89,150
90,136
91,147
92,325
