Time,com.sun.xml.stream.xerces.xni.XMLString Data
0,147
1,99
2,171
3,183
4,195
5,207
6,207
7,99
8,159
9,171
10,171
11,171
12,159
13,171
14,183
15,207
16,195
17,147
18,183
19,171
20,195
21,195
22,147
23,159
24,172
25,171
26,171
27,147
28,159
29,160
30,171
31,183
32,183
33,171
34,171
35,171
36,183
37,183
38,171
39,195
40,195
41,183
42,171
43,183
44,183
45,171
46,171
47,123
48,171
49,183
50,123
51,183
52,183
53,135
54,171
55,183
56,183
