Time,org.apache.hadoop.security.Credentials Data
0,170
1,232
2,264
3,266
4,292
5,280
6,349
7,360
8,279
9,360
10,356
11,403
12,407
13,448
14,467
15,457
16,508
17,517
18,489
19,534
20,512
21,585
22,618
23,639
24,650
25,711
26,708
27,650
28,694
29,696
30,722
31,799
32,749
33,788
34,854
35,871
36,881
37,890
38,883
39,885
40,989
41,967
42,958
43,978
44,989
45,993
46,1100
47,1063
48,1146
49,1119
50,1089
51,1176
52,1144
53,1191
54,1198
55,1279
56,1235
57,1237
58,1221
59,1246
60,1330
61,1309
62,1360
63,1397
64,1365
65,1403
66,1375
67,1390
68,1471
69,1455
70,1468
71,1509
72,1572
73,1592
74,1526
75,1591
76,1624
77,1659
78,1695
79,1739
80,1658
81,1683
82,1701
83,1750
84,1779
85,1796
86,1770
87,1828
88,1838
89,1858
90,1884
91,1904
92,1906
93,1914
94,1913
95,1929
96,2045
97,2058
98,2014
99,2040
100,2048
101,2026
102,2150
103,2154
104,2127
105,2138
106,2121
107,2192
108,2191
109,2200
110,2243
111,2256
112,2259
113,2337
114,2314
115,2315
116,2397
117,2377
118,2463
119,2446
120,2398
121,2506
122,2499
123,2492
124,2571
125,2575
126,2621
127,2580
128,2554
129,2616
130,2603
131,2690
132,2740
133,2698
134,2746
135,2711
136,2798
137,2724
138,2805
139,2858
140,2805
141,2895
142,2824
143,2908
144,2980
145,2908
146,2976
147,2919
148,2987
149,3060
150,3000
151,3044
152,3114
153,3053
154,3085
155,3168
156,3084
157,3128
158,3090
159,3145
160,3179
161,3252
162,3325
163,3191
164,3238
165,3319
166,3339
167,3378
168,3299
169,3342
170,3316
171,3362
172,3444
173,3446
174,3486
175,3562
176,3571
177,3470
178,3502
179,3530
180,3563
181,3607
182,3555
183,3594
184,3627
185,3660
186,3684
187,3722
188,3713
189,3768
190,3790
191,3805
192,3829
193,3870
194,3817
195,3839
196,3874
197,3875
198,3886
199,3921
200,3922
201,3926
202,3940
203,3965
204,3971
205,4130
