Time,java.io.DataOutputStream Data
0,199
1,185
2,181
3,174
4,230
5,222
6,236
7,177
8,150
9,214
10,186
11,224
12,196
13,176
14,239
15,245
16,261
17,248
18,238
19,231
20,190
21,230
22,272
23,213
24,243
25,239
26,264
27,199
28,290
29,234
30,302
31,174
32,267
33,256
34,220
35,279
36,279
37,197
38,322
39,278
40,188
41,303
42,191
43,303
44,293
45,255
46,336
47,207
48,207
49,276
50,208
51,176
52,239
53,342
54,316
55,220
56,168
57,217
58,227
59,249
60,215
61,256
62,287
63,171
64,343
