Time,org.apache.hadoop.io.Text Data
0,148
1,621
2,428
3,508
4,513
5,162
6,691
7,634
8,549
9,406
10,531
11,187
12,628
13,659
14,305
15,652
16,624
17,454
18,396
19,642
20,493
21,658
22,763
23,710
24,180
25,254
26,774
27,206
28,222
29,721
30,692
31,602
32,602
33,214
34,888
35,462
36,238
37,249
38,857
39,189
40,903
41,613
42,641
43,396
44,608
45,753
46,708
47,315
48,152
49,802
50,276
51,461
52,863
53,481
54,630
55,175
56,157
57,723
58,206
59,187
60,511
61,965
62,858
63,206
64,514
65,493
66,717
67,1053
68,925
69,385
70,201
71,465
72,641
73,451
74,574
75,641
76,422
77,634
78,564
79,306
80,415
81,450
82,397
83,1171
84,1116
85,671
86,560
87,514
88,984
89,1077
90,414
91,348
92,660
93,563
94,245
95,697
96,602
97,267
98,807
99,615
100,1084
101,433
102,1234
103,931
104,202
105,1001
106,1147
107,485
108,1197
109,764
110,1327
111,729
112,414
113,688
114,201
115,962
116,1379
117,800
118,1211
119,311
120,1071
121,429
122,1044
123,1270
124,547
125,1280
126,233
127,762
128,1385
129,465
130,1232
131,488
132,832
133,1363
134,629
135,847
136,1363
137,545
138,718
139,1342
140,435
141,630
142,118
143,500
144,634
145,1147
146,1414
147,563
148,796
149,895
150,1270
151,221
152,516
153,120
154,435
155,874
156,813
157,1102
158,1502
159,1393
160,221
161,469
162,487
163,668
164,969
165,293
166,527
167,491
168,692
169,860
170,642
171,903
172,1119
173,897
174,1137
175,1278
176,449
177,661
178,711
179,469
180,609
181,693
182,458
183,473
184,229
185,238
186,266
187,1558
