Time,java.util.TreeMap$KeyIterator Data
0,122
1,99
2,170
3,142
4,165
5,123
6,99
7,182
8,164
9,202
10,83
11,107
12,94
13,129
14,189
15,194
16,111
17,173
18,111
19,93
20,120
21,118
22,210
23,89
24,187
25,197
26,87
27,171
28,120
29,258
30,145
31,87
32,95
33,175
34,128
35,154
36,189
37,83
38,93
39,262
40,101
41,187
42,196
43,173
44,207
45,95
46,105
47,156
48,217
49,148
50,139
51,95
52,229
53,246
54,91
55,233
56,200
57,144
58,87
59,165
60,120
61,254
62,124
63,195
64,122
65,241
66,194
67,107
68,229
69,301
70,152
71,233
72,249
73,179
74,107
75,212
76,261
77,175
78,322
79,217
80,113
81,195
82,262
83,156
84,326
85,183
86,255
87,187
88,255
89,173
90,245
91,87
92,214
93,273
94,95
95,206
96,109
97,87
98,179
99,206
100,261
101,257
102,109
103,138
104,190
105,99
106,132
107,164
108,187
109,197
110,217
111,199
112,216
113,231
114,157
115,163
116,144
117,120
118,125
119,116
120,279
