Time,com.sun.org.apache.xerces.internal.xni.parser.XMLConfigurationException Data
0,486
1,768
2,822
3,624
4,648
5,192
6,1008
7,816
8,48
9,798
10,240
11,696
12,336
13,768
14,960
15,456
16,864
17,816
18,192
19,480
20,192
21,768
22,816
23,990
24,936
25,1296
26,1176
27,192
28,168
29,552
30,1338
31,432
32,300
33,1110
34,1056
35,912
36,750
37,432
38,108
39,1440
40,792
41,360
42,312
43,576
44,84
45,1200
46,336
47,1344
48,720
49,48
50,1104
51,216
52,696
53,456
54,1314
55,1152
56,672
57,48
58,144
59,1152
60,528
61,888
62,1428
63,528
64,744
65,192
66,1200
67,312
68,324
69,666
70,1176
71,1392
72,288
73,504
74,864
75,1146
76,1224
77,1632
78,144
79,216
80,372
81,816
82,816
83,888
84,648
85,912
86,792
87,864
88,864
89,768
90,600
91,528
92,174
93,144
94,1680
95,1536
96,1008
97,816
98,642
99,96
100,1776
101,1368
102,744
103,474
104,48
105,960
106,552
107,396
108,1104
109,768
110,456
111,1392
112,816
113,384
114,1398
115,798
116,1872
117,1320
118,384
119,1728
120,1608
121,912
122,1776
123,1368
124,2016
125,1200
126,264
127,1038
128,384
129,1512
130,2160
131,1152
132,1872
133,840
134,1722
135,312
136,1224
137,1752
138,768
139,1776
140,468
141,1296
142,2136
143,888
144,1920
145,486
146,1248
147,2064
148,768
149,1296
150,2064
151,768
152,1152
153,2016
154,360
155,744
156,48
157,618
158,774
159,1608
160,2256
161,144
162,552
163,1458
164,1512
165,1752
166,240
167,624
168,48
169,408
170,1320
171,1200
172,1440
173,2160
174,2196
175,240
176,528
177,648
178,912
179,1224
180,192
181,558
182,708
183,984
184,1038
185,1248
186,960
187,1344
188,1536
189,1536
190,1512
191,1776
192,912
193,948
194,1092
195,960
196,816
197,1056
198,744
199,504
200,456
201,480
202,312
203,2448
