Time,[Ljava.lang.Object; Data
0,107168
1,237351
2,206114
3,210517
4,201200
5,142637
6,237275
7,217656
8,119285
9,211949
10,183933
11,193281
12,163805
13,224515
14,225555
15,163592
16,213170
17,212043
18,137039
19,194224
20,124060
21,187260
22,226144
23,191563
24,229962
25,268623
26,246354
27,130586
28,148870
29,127548
30,147291
31,242234
32,158290
33,147693
34,226483
35,234567
36,227281
37,211294
38,147810
39,127187
40,260418
41,188415
42,156916
43,141528
44,163545
45,124429
46,240414
47,166847
48,260398
49,210788
50,123458
51,231997
52,175966
53,200901
54,164536
55,271632
56,234625
57,178780
58,123638
59,137764
60,248270
61,167133
62,189986
63,255632
64,181376
65,201442
66,130012
67,140150
68,253250
69,147757
70,143950
71,211631
72,264925
73,256268
74,148298
75,190606
76,197827
77,237626
78,279136
79,275498
80,128836
81,174977
82,146784
83,206458
84,214521
85,191717
86,209312
87,216713
88,180000
89,218350
90,219203
91,178316
92,188088
93,195151
94,169663
95,128753
96,314000
97,305888
98,232385
99,217436
100,211720
101,127226
102,292929
103,270664
104,179400
105,193899
106,127989
107,225845
108,200460
109,166563
110,235331
111,214249
112,168065
113,247000
114,217844
115,164343
116,299280
117,190177
118,331579
119,262190
120,147893
121,294527
122,292696
123,206217
124,328059
125,259576
126,335278
127,241643
128,180310
129,237477
130,162958
131,282752
132,339892
133,252789
134,328624
135,185119
136,285235
137,181291
138,275988
139,338639
140,218836
141,325082
142,152344
143,265773
144,339420
145,193965
146,331974
147,182718
148,255516
149,349411
150,231225
151,257014
152,349400
153,219818
154,241564
155,348061
156,200385
157,207587
158,139833
159,215343
160,217377
161,305512
162,371455
163,131825
164,203082
165,280194
166,278252
167,342050
168,153220
169,210911
170,140165
171,196268
172,261957
173,254947
174,307099
175,355370
176,354055
177,153629
178,198243
179,185518
180,236297
181,271264
182,143459
183,174935
184,217453
185,197861
186,239715
187,262666
188,236415
189,266830
190,304505
191,266731
192,300036
193,343626
194,202953
195,236237
196,242549
197,203877
198,232427
199,240501
200,196684
201,201937
202,166639
203,170108
204,170195
205,374059
